row_label_raw,row_label_full,Công ty Cổ phần Phân phối khí Thắp áp Dầu khí Việt Nam,Số cuối nămVND > 1.140.617.507.338,Số đầu nămVND > 916.553.377.478,numeric__Số cuối nămVND > 1.140.617.507.338,numeric__Số đầu nămVND > 916.553.377.478
Công ty Cổ phần Nhiệt điện Bà Rịa,Công ty Cổ phần Nhiệt điện Bà Rịa,Công ty Cổ phần Nhiệt điện Bà Rịa,803.471.517.266,1.589.673.730,803471517266.0,1589673730.0
Tổng Công ty Điện lực Dầu khí Việt Nam,Tổng Công ty Điện lực Dầu khí Việt Nam,Tổng Công ty Điện lực Dầu khí Việt Nam,488.191.304,1.793.797.384.201,488191304.0,1793797384201.0
SK Gas Company Limited,SK Gas Company Limited,SK Gas Company Limited,564.602.647.380,-,564602647380.0,
Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,286.067.009.451,300.993.564.258,286067009451.0,300993564258.0
Công ty TNHH TotalGaz Việt Nam,Công ty TNHH TotalGaz Việt Nam,Công ty TNHH TotalGaz Việt Nam,261.020.927.961,164.360.909.502,261020927961.0,164360909502.0
Công ty TNHH MTV-Tổng Công ty Phát điện 3,Công ty TNHH MTV-Tổng Công ty Phát điện 3,Công ty TNHH MTV-Tổng Công ty Phát điện 3,255.359.655.541,540.774.465.207,255359655541.0,540774465207.0
Công ty Cổ phần Kinh doanh Khí Miền Nam,Công ty Cổ phần Kinh doanh Khí Miền Nam,Công ty Cổ phần Kinh doanh Khí Miền Nam,199.567.238.643,293.523.547.738,199567238643.0,293523547738.0
Astomos Energy Corporation,Astomos Energy Corporation,Astomos Energy Corporation,-,420.839.833.600,,420839833600.0
Các khoản phải thu khách hàng khác,Các khoản phải thu khách hàng khác,Các khoản phải thu khách hàng khác,1.279.423.099.668,1.354.507.404.445,1279423099668.0,1354507404445.0
,,,4.790.617.794.552,5.786.940.160.159,4790617794552.0,5786940160159.0
Phải thu khách hàng là các bên liên quan(chỉ tiết trình bày tại Thuyết minh số 35),Phải thu khách hàng là các bên liên quan(chỉ tiết trình bày tại Thuyết minh số 35),Phải thu khách hàng là các bên liên quan(chỉ tiết trình bày tại Thuyết minh số 35),2.074.798.976.342,3.913.413.527.139,2074798976342.0,3913413527139.0
