row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
,,,VND,VND,VND,VND,,,,
Abu Dhabi National Oil Company (ADNOC),Abu Dhabi National Oil Company (ADNOC),Abu Dhabi National Oil Company (ADNOC),562.662.478.050,562.662.478.050,416.575.744.000,416.575.744.000,562662478050.0,562662478050.0,416575744000.0,416575744000.0
Liên doanh Việt - Nga VietsovPetro,Liên doanh Việt - Nga VietsovPetro,Liên doanh Việt - Nga VietsovPetro,228.292.614.176,228.292.614.176,118.744.701.248,118.744.701.248,228292614176.0,228292614176.0,118744701248.0,118744701248.0
Petredec International Pte Ltd.,Petredec International Pte Ltd.,Petredec International Pte Ltd.,180.733.845.023,180.733.845.023,110.368.726.611,110.368.726.611,180733845023.0,180733845023.0,110368726611.0,110368726611.0
Công ty TNHH MTV Lộc Hóa Dầu Bình Sơn,Công ty TNHH MTV Lộc Hóa Dầu Bình Sơn,Công ty TNHH MTV Lộc Hóa Dầu Bình Sơn,135.464.333.469,135.464.333.469,197.642.746.260,197.642.746.260,135464333469.0,135464333469.0,197642746260.0,197642746260.0
Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,80.012.979.219,80.012.979.219,249.073.129.875,249.073.129.875,80012979219.0,80012979219.0,249073129875.0,249073129875.0
Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,Tập đoàn Dầu khí Việt Nam,65.164.628.255,65.164.628.255,178.006.615.026,178.006.615.026,65164628255.0,65164628255.0,178006615026.0,178006615026.0
Astomos Energy Corporation,Astomos Energy Corporation,Astomos Energy Corporation,-,-,225.430.046.339,225.430.046.339,,,225430046339.0,225430046339.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,225.292.236.371,225.292.236.371,204.812.739.109,204.812.739.109,225292236371.0,225292236371.0,204812739109.0,204812739109.0
,,,1.477.623.114.563,1.477.623.114.563,1.700.654.448.468,1.700.654.448.468,1477623114563.0,1477623114563.0,1700654448468.0,1700654448468.0
Phải trả người bán là các bên liên quan(chi tiết trình bày tại Thuyết minh số 35),Phải trả người bán là các bên liên quan(chi tiết trình bày tại Thuyết minh số 35),Phải trả người bán là các bên liên quan(chi tiết trình bày tại Thuyết minh số 35),585.170.190.391,585.170.190.391,803.588.189.821,803.588.189.821,585170190391.0,585170190391.0,803588189821.0,803588189821.0
