row_label_raw,row_label_full,Trích trước chi phí mua và vận chuyển khí Nam Côn Sơn,Số cuối nămVND > 2.187.385.066.421,Số đầu nămVND > 1.856.415.730.671,numeric__Số cuối nămVND > 2.187.385.066.421,numeric__Số đầu nămVND > 1.856.415.730.671
Trích trước chi phí mua và xử lý khí Cửu Long,Trích trước chi phí mua và xử lý khí Cửu Long,Trích trước chi phí mua và xử lý khí Cửu Long,969.585.270.279,976.098.835.097,969585270279.0,976098835097.0
Trích trước chi phí mua và xử lý khí Thiên Úng Đại Hùng,Trích trước chi phí mua và xử lý khí Thiên Úng Đại Hùng,Trích trước chi phí mua và xử lý khí Thiên Úng Đại Hùng,224.890.306.167,75.028.978.496,224890306167.0,75028978496.0
Trích trước chi phí mua khí PM3 CAA và 46 - Cái Nước (i),Trích trước chi phí mua khí PM3 CAA và 46 - Cái Nước (i),Trích trước chi phí mua khí PM3 CAA và 46 - Cái Nước (i),179.898.187.152,-,179898187152.0,
Trích trước chi phí mua khí Hàm Rồng Thái Bình,Trích trước chi phí mua khí Hàm Rồng Thái Bình,Trích trước chi phí mua khí Hàm Rồng Thái Bình,80.683.777.318,96.556.236.045,80683777318.0,96556236045.0
Lãi vay phải trả,Lãi vay phải trả,Lãi vay phải trả,94.643.556.750,94.098.115.966,94643556750.0,94098115966.0
Chi phí nhà điều hành Nam Côn Sơn,Chi phí nhà điều hành Nam Côn Sơn,Chi phí nhà điều hành Nam Côn Sơn,34.316.439.613,39.344.825.172,34316439613.0,39344825172.0
"Trích trước chi phí bảo dưỡng, sửa chữa","Trích trước chi phí bảo dưỡng, sửa chữa","Trích trước chi phí bảo dưỡng, sửa chữa",30.438.745.563,40.650.842.017,30438745563.0,40650842017.0
Trích trước chi phí xây dựng cơ bản,Trích trước chi phí xây dựng cơ bản,Trích trước chi phí xây dựng cơ bản,483.288.224.965,2.134.111.984,483288224965.0,2134111984.0
Các khoản khác,Các khoản khác,Các khoản khác,27.668.508.171,81.617.438.522,27668508171.0,81617438522.0
,,,4.312.798.082.399,3.261.945.113.970,4312798082399.0,3261945113970.0
Chi phí phải trả các bên liên quan(chỉ tiết trình bày tại Thuyết minh số 35),Chi phí phải trả các bên liên quan(chỉ tiết trình bày tại Thuyết minh số 35),Chi phí phải trả các bên liên quan(chỉ tiết trình bày tại Thuyết minh số 35),2.105.173.024.644,1.789.445.973.948,2105173024644.0,1789445973948.0
