row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,Lợi nhuận sau thuế chưa phân phối năm nay,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,numeric__Lợi nhuận sau thuế chưa phân phối năm nay,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,18.950.000.000.000,421.727.266,(40.111.223.937),11.266.595.401.157,128.657.747.553,4.175.668.192.546,6.651.332.130.139,41.132.563.974.724,18950000000000.0,421727266.0,-40111223937.0,11266595401157.0,128657747553.0,4175668192546.0,6651332130139.0,41132563974724.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,7.110.493.250.947,7.110.493.250.947,,,,,,,7110493250947.0,7110493250947.0
Kết chuyển số dư,Kết chuyển số dư,Kết chuyển số dư,-,-,-,128.657.747.553,(128.657.747.553),6.651.332.130.139,(6.651.332.130.139),-,,,,128657747553.0,-128657747553.0,6651332130139.0,-6651332130139.0,
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,1.701.000.000.000,-,(1.701.000.000.000),-,-,,,,1701000000000.0,,-1701000000000.0,,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(52.603.065.684),(113.500.000.000),(166.103.065.684),,,,,,-52603065684.0,-113500000000.0,-166103065684.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,(8.495.500.312.573),(688.570.423.427),(9.184.070.736.000),,,,,,-8495500312573.0,-688570423427.0,-9184070736000.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,189.500.000.000,189.500.000.000,-,-,-,-,-,379.000.000.000,189500000000.0,189500000000.0,,,,,,379000000000.0
Khác,Khác,Khác,-,(175.000.000),-,-,-,-,-,(175.000.000),,-175000000.0,,,,,,-175000000.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,19.139.500.000.000,189.746.727.266,(40.111.223.937),13.096.253.148.710,-,577.896.944.428,6.308.422.827.520,39.271.708.423.987,19139500000000.0,189746727266.0,-40111223937.0,13096253148710.0,,577896944428.0,6308422827520.0,39271708423987.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,9.670.465.532.865,9.670.465.532.865,,,,,,,9670465532865.0,9670465532865.0
Kết chuyển số dư,Kết chuyển số dư,Kết chuyển số dư,-,-,-,-,-,6.308.422.827.520,(6.308.422.827.520),-,,,,,,6308422827520.0,-6308422827520.0,
Trích lập các quỹ (i),Trích lập các quỹ (i),Trích lập các quỹ (i),-,-,-,1.443.000.000.000,-,(1.443.000.000.000),-,-,,,,1443000000000.0,,-1443000000000.0,,
"Trích quỹ khen thưởng, phúc lợi (i)","Trích quỹ khen thưởng, phúc lợi (i)","Trích quỹ khen thưởng, phúc lợi (i)",-,-,-,-,-,(97.500.000.000),(105.500.000.000),(203.000.000.000),,,,,,-97500000000.0,-105500000000.0,-203000000000.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,(3.252.691.719.000),(3.826.696.140.000),(7.079.387.859.000),,,,,,-3252691719000.0,-3826696140000.0,-7079387859000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,19.139.500.000.000,189.746.727.266,(40.111.223.937),14.539.253.148.710,-,2.093.128.052.948,5.738.269.392.865,41.659.786.097.852,19139500000000.0,189746727266.0,-40111223937.0,14539253148710.0,,2093128052948.0,5738269392865.0,41659786097852.0
