row_label_raw,row_label_full,Chi tiêu,Số đầu năm > Giá trị,Số đầu năm > Số có khả năngtrà nợ,Phát sinh trong năm > Giải ngân,Phát sinh trong năm > Chênh lệch tỷ giá,Phát sinh trong năm > Trà gốc,Số cuối năm > Giá trị,Số cuối năm > Số có khả năngtrà nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năngtrà nợ,numeric__Phát sinh trong năm > Giải ngân,numeric__Phát sinh trong năm > Chênh lệch tỷ giá,numeric__Phát sinh trong năm > Trà gốc,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năngtrà nợ
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Vay bằng USD (i),Vay bằng USD (i),Vay bằng USD (i),5.444.512.615.766,5.444.512.615.766,6.108.057.474.984,(11.189.853.142),(5.241.894.000.000),6.299.486.237.608,6.299.486.237.608,5444512615766.0,5444512615766.0,6108057474984.0,-11189853142.0,-5241894000000.0,6299486237608.0,6299486237608.0
Vay bằng VND,Vay bằng VND,Vay bằng VND,992.999.520.665,992.999.520.665,824.004.264.442,-,-,1.817.003.785.107,1.817.003.785.107,992999520665.0,992999520665.0,824004264442.0,,,1817003785107.0,1817003785107.0
Cộng,Cộng,Cộng,6.437.512.136.431,6.437.512.136.431,6.932.061.739.426,(11.189.853.142),(5.241.894.000.000),8.116.490.022.715,8.116.490.022.715,6437512136431.0,6437512136431.0,6932061739426.0,-11189853142.0,-5241894000000.0,8116490022715.0,8116490022715.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,,
Số phải trả trongvòng 12 tháng,Trong đó: > Số phải trả trongvòng 12 tháng,Số phải trả trongvòng 12 tháng,489.334.272.000,,,,,,951.930.000.000,489334272000.0,,,,,,951930000000.0
Số phải trả sau 12tháng,Trong đó: > Số phải trả sau 12tháng,Số phải trả sau 12tháng,5.948.177.864.431,,,,,,7.164.560.022.715,5948177864431.0,,,,,,7164560022715.0
