row_label_raw,row_label_full,col_0,Mã số,Số liệu trước điều chỉnh,Các điều chỉnh,Số liệu sau điều chỉnh,numeric__Mã số,numeric__Số liệu trước điều chỉnh,numeric__Các điều chỉnh,numeric__Số liệu sau điều chỉnh
Băng cân đối kế toán hợp nhất,Băng cân đối kế toán hợp nhất,Băng cân đối kế toán hợp nhất,Băng cân đối kế toán hợp nhất,Băng cân đối kế toán hợp nhất,Băng cân đối kế toán hợp nhất,Băng cân đối kế toán hợp nhất,,,,
Thuế và các khoản phải nộp Nhà nước,Băng cân đối kế toán hợp nhất > Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,32.096.573.324,19.773.842.434,51.870.415.758,313.0,32096573324.0,19773842434.0,51870415758.0
Thuế thu nhập hoãn lại phải trả,Băng cân đối kế toán hợp nhất > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,341,35.868.629.617,2.098.574.993,37.967.204.610,341.0,35868629617.0,2098574993.0,37967204610.0
Lợi nhuận sau thuế chưa phân phối,Băng cân đối kế toán hợp nhất > Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,176.726.308.021,(21.864.584.964),154.861.723.057,421.0,176726308021.0,-21864584964.0,154861723057.0
Lợi ích của cổ đông không kiểm soát,Băng cân đối kế toán hợp nhất > Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,429,2.054.861.042.399,(7.832.463),2.054.853.209.936,429.0,2054861042399.0,-7832463.0,2054853209936.0
Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất,,,,
Chi phí khác,Báo cáo kết quả hoạt động kinh doanh hợp nhất > Chi phí khác,Chi phí khác,32,2.600.567.368,131.092.871,2.731.660.239,32.0,2600567368.0,131092871.0,2731660239.0
Lợi nhuận khác,Báo cáo kết quả hoạt động kinh doanh hợp nhất > Lợi nhuận khác,Lợi nhuận khác,40,1.309.211.178,(131.092.871),1.178.118.307,40.0,1309211178.0,-131092871.0,1178118307.0
Tổng lợi nhuận kế toán trước thuế,Báo cáo kết quả hoạt động kinh doanh hợp nhất > Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,50,(15.863.247.006),(131.092.871),(15.994.339.877),50.0,-15863247006.0,-131092871.0,-15994339877.0
Chi phí thuế TNDN hiện hành,Báo cáo kết quả hoạt động kinh doanh hợp nhất > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,32.711.079.711,18.345.208.556,51.056.288.267,51.0,32711079711.0,18345208556.0,51056288267.0
Chi phí thuế TNDN hoãn lại,Báo cáo kết quả hoạt động kinh doanh hợp nhất > Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,52,29.050.166.967,2.098.574.993,31.148.741.960,52.0,29050166967.0,2098574993.0,31148741960.0
Lợi nhuận sau thuế TNDN,Báo cáo kết quả hoạt động kinh doanh hợp nhất > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,60,(77.624.493.684),(20.574.876.420),(98.199.370.104),60.0,-77624493684.0,-20574876420.0,-98199370104.0
Lợi nhuận sau thuế của công ty mẹ,Báo cáo kết quả hoạt động kinh doanh hợp nhất > Lợi nhuận sau thuế của công ty mẹ,Lợi nhuận sau thuế của công ty mẹ,61,(114.937.673.400),(20.567.043.957),(135.504.717.357),61.0,-114937673400.0,-20567043957.0,-135504717357.0
Lợi nhuận sau thuế của cổ đông không kiểm soát,Báo cáo kết quả hoạt động kinh doanh hợp nhất > Lợi nhuận sau thuế của cổ đông không kiểm soát,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,37.313.179.716,(7.832.463),37.305.347.253,62.0,37313179716.0,-7832463.0,37305347253.0
Báo cáo lưu chuyển tiền tệ hợp nhất,Báo cáo lưu chuyển tiền tệ hợp nhất,Báo cáo lưu chuyển tiền tệ hợp nhất,Báo cáo lưu chuyển tiền tệ hợp nhất,Báo cáo lưu chuyển tiền tệ hợp nhất,Báo cáo lưu chuyển tiền tệ hợp nhất,Báo cáo lưu chuyển tiền tệ hợp nhất,,,,
Lợi nhuận trước thuế,Báo cáo lưu chuyển tiền tệ hợp nhất > Lợi nhuận trước thuế,Lợi nhuận trước thuế,1,(15.863.247.006),(131.092.871),(15.994.339.877),1.0,-15863247006.0,-131092871.0,-15994339877.0
"Tăng, giảm các khoản phải trả","Báo cáo lưu chuyển tiền tệ hợp nhất > Tăng, giảm các khoản phải trả","Tăng, giảm các khoản phải trả",11,31.470.222.207,131.092.871,31.601.315.078,11.0,31470222207.0,131092871.0,31601315078.0
