row_label_raw,row_label_full,col_0,Giá trị còn lại của tài sản bộ phận > Số cuối năm,Giá trị còn lại của tài sản bộ phận > Số đầu năm,"Tăng TSCĐ vô hình, TSCĐ hữu hình, bất động sản đầu tư > Năm nay","Tăng TSCĐ vô hình, TSCĐ hữu hình, bất động sản đầu tư > Năm trước",numeric__Giá trị còn lại của tài sản bộ phận > Số cuối năm,numeric__Giá trị còn lại của tài sản bộ phận > Số đầu năm,"numeric__Tăng TSCĐ vô hình, TSCĐ hữu hình, bất động sản đầu tư > Năm nay","numeric__Tăng TSCĐ vô hình, TSCĐ hữu hình, bất động sản đầu tư > Năm trước"
Lĩnh vực tư vấn đầu tư,Lĩnh vực tư vấn đầu tư,Lĩnh vực tư vấn đầu tư,64.117.777.318,66.997.761.752,1.268.671.909,4.214.186.909,64117777318.0,66997761752.0,1268671909.0,4214186909.0
"Lĩnh vực sản xuất,thương mại các sản phẩm nông nghiệp, vật tư kỹ thuật nông nghiệp","Lĩnh vực sản xuất,thương mại các sản phẩm nông nghiệp, vật tư kỹ thuật nông nghiệp","Lĩnh vực sản xuất,thương mại các sản phẩm nông nghiệp, vật tư kỹ thuật nông nghiệp",250.124.354.369,223.567.954.186,47.058.256.241,25.302.447.665,250124354369.0,223567954186.0,47058256241.0,25302447665.0
"Lĩnh vực sản xuất và kinh doanh thuốc, kinh doanh thiết bị y tế","Lĩnh vực sản xuất và kinh doanh thuốc, kinh doanh thiết bị y tế","Lĩnh vực sản xuất và kinh doanh thuốc, kinh doanh thiết bị y tế",456.200.045.719,438.736.424.845,54.759.115.609,13.054.194.573,456200045719.0,438736424845.0,54759115609.0,13054194573.0
Cộng,Cộng,Cộng,770.442.177.406,729.302.140.783,103.086.043.759,42.570.829.147,770442177406.0,729302140783.0,103086043759.0,42570829147.0
