row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Năm nay,Đơn vị tính: VNDNăm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,VI.1,1.984.757.327.393,1.774.922.351.603,,1.0,,1984757327393.0,1774922351603.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,VI.2,31.099.252.252,29.154.717.054,,2.0,,31099252252.0,29154717054.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ,10,,1.953.658.075.141,1.745.767.634.549,,10.0,,1953658075141.0,1745767634549.0
4.,4.,4.,Giá vốn hàng bán,11,VI.3,1.560.804.580.933,1.397.449.110.731,,11.0,,1560804580933.0,1397449110731.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,20,,392.853.494.208,348.318.523.818,,20.0,,392853494208.0,348318523818.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,VI.4,249.647.745.886,224.570.492.615,,21.0,,249647745886.0,224570492615.0
7.,7.,7.,Chi phí tài chính,22,VI.5,55.098.285.958,256.828.269.033,,22.0,,55098285958.0,256828269033.0
7.,7.,7.,Trong đó: chi phí lãi vay,23,,50.280.915.507,68.807.184.388,,23.0,,50280915507.0,68807184388.0
8.,8.,8.,"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,,(9.050.259.506),(12.267.114.557),,24.0,,-9050259506.0,-12267114557.0
9.,9.,9.,Chi phí bán hàng,25,VI.6,144.779.686.091,128.329.960.235,,25.0,,144779686091.0,128329960235.0
10.,10.,10.,Chi phí quản lý doanh nghiệp,26,VI.7,208.773.148.649,192.636.130.792,,26.0,,208773148649.0,192636130792.0
11.,11.,11.,Lợi nhuận thuần từ hoạt động kinh doanh,30,,224.799.859.890,(17.172.458.184),,30.0,,224799859890.0,-17172458184.0
12.,12.,12.,Thu nhập khác,31,,4.084.038.973,3.909.778.546,,31.0,,4084038973.0,3909778546.0
13.,13.,13.,Chi phí khác,32,,1.192.775.811,2.731.660.239,,32.0,,1192775811.0,2731660239.0
14.,14.,14.,Lợi nhuận khác,40,,2.891.263.162,1.178.118.307,,40.0,,2891263162.0,1178118307.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế,50,,227.691.123.052,(15.994.339.877),,50.0,,227691123052.0,-15994339877.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,,60.642.529.043,51.056.288.267,,51.0,,60642529043.0,51056288267.0
17.,17.,17.,Chi phí thuế thu nhập doanh nghiệp hoãn lại,52,,(9.454.708.944),31.148.741.960,,52.0,,-9454708944.0,31148741960.0
18.,18.,18.,Lợi nhuận sau thuế thu nhập doanh nghiệp,60,,176.503.302.953,(98.199.370.104),,60.0,,176503302953.0,-98199370104.0
19.,19.,19.,Lợi nhuận sau thuế của công ty mẹ,61,,119.263.581.349,(135.504.717.357),,61.0,,119263581349.0,-135504717357.0
20.,20.,20.,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,57.239.721.604,37.305.347.253,,62.0,,57239721604.0,37305347253.0
21.,21.,21.,Lãi cơ bản trên cổ phiếu,70,VI.8,351,(399),,70.0,,351.0,-399.0
22.,22.,22.,Lãi suy giảm trên cổ phiếu,71,VI.8,351,(399),,71.0,,351.0,-399.0
