row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Bản sắc thương hiệu (*),Chương trình phần mềm,Cộng,numeric__Quyền sử dụng đất,numeric__Bản sắc thương hiệu (*),numeric__Chương trình phần mềm,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,107.185.506.364,988.680.000,8.667.467.283,116.841.653.647,107185506364.0,988680000.0,8667467283.0,116841653647.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,1.426.962.440,1.426.962.440,,,1426962440.0,1426962440.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,107.185.506.364,988.680.000,10.094.429.723,118.268.616.087,107185506364.0,988680000.0,10094429723.0,118268616087.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Đã khấu hao hết nhưng vẫn còn sử dụng,Trong đó: > Đã khấu hao hết nhưng vẫn còn sử dụng,Đã khấu hao hết nhưng vẫn còn sử dụng,-,-,689.916.700,689.916.700,,,689916700.0,689916700.0
Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,Giá trị hao mòn,,,,
Số đầu năm,Giá trị hao mòn > Số đầu năm,Số đầu năm,12.226.371.688,376.248.210,2.734.198.868,15.336.818.766,12226371688.0,376248210.0,2734198868.0,15336818766.0
Khấu hao trong năm,Giá trị hao mòn > Khấu hao trong năm,Khấu hao trong năm,1.651.416.865,49.434.000,1.065.794.853,2.766.645.718,1651416865.0,49434000.0,1065794853.0,2766645718.0
Số cuối năm,Giá trị hao mòn > Số cuối năm,Số cuối năm,13.877.788.553,425.682.210,3.799.993.721,18.103.464.484,13877788553.0,425682210.0,3799993721.0,18103464484.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,94.959.134.676,612.431.790,5.933.268.415,101.504.834.881,94959134676.0,612431790.0,5933268415.0,101504834881.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,93.307.717.811,562.997.790,6.294.436.002,100.165.151.603,93307717811.0,562997790.0,6294436002.0,100165151603.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Tạm thời không sử dụng,Tạm thời không sử dụng,Tạm thời không sử dụng,-,-,-,-,,,,
Đang chờ thanh lý,Đang chờ thanh lý,Đang chờ thanh lý,-,-,-,-,,,,
