row_label_raw,row_label_full,Số cuối năm,Từ 1 năm trở xuống > Số cuối năm,Trên 1 năm đến 5 năm > Số cuối năm,Trên 5 năm > Số cuối năm,Cộng > Số cuối năm,numeric__Từ 1 năm trở xuống > Số cuối năm,numeric__Trên 1 năm đến 5 năm > Số cuối năm,numeric__Trên 5 năm > Số cuối năm,numeric__Cộng > Số cuối năm
Tiền gốc phải trả,Tiền gốc phải trả,Tiền gốc phải trả,24.544.084.140,90.437.418.960,6.435.403.875,121.416.906.975,24544084140.0,90437418960.0,6435403875.0,121416906975.0
Lãi thuê phải trả,Lãi thuê phải trả,Lãi thuê phải trả,10.479.546.246,19.262.617.901,221.730.399,29.963.894.546,10479546246.0,19262617901.0,221730399.0,29963894546.0
Nợ thuê tài chính phải trả,Nợ thuê tài chính phải trả,Nợ thuê tài chính phải trả,35.023.630.386,109.700.036.861,6.657.134.274,151.380.801.521,35023630386.0,109700036861.0,6657134274.0,151380801521.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,
Tiền gốc phải trả,Số đầu năm > Tiền gốc phải trả,Tiền gốc phải trả,20.758.283.640,98.855.900.600,-,119.614.184.240,20758283640.0,98855900600.0,,119614184240.0
Lãi thuê phải trả,Số đầu năm > Lãi thuê phải trả,Lãi thuê phải trả,10.967.457.576,24.356.977.567,-,35.324.435.143,10967457576.0,24356977567.0,,35324435143.0
Nợ thuê tài chính phải trả,Số đầu năm > Nợ thuê tài chính phải trả,Nợ thuê tài chính phải trả,31.725.741.216,123.212.878.167,-,154.938.619.383,31725741216.0,123212878167.0,,154938619383.0
