row_label_raw,row_label_full,Phải thu các bên liên quan (Xem thuyết minh VIII.1),Số cuối năm > 551.350.800,Số đầu năm > 967.122,numeric__Số cuối năm > 551.350.800,numeric__Số đầu năm > 967.122
Phải thu các khách hàng khác,Phải thu các khách hàng khác,Phải thu các khách hàng khác,428.013.090.676,369.133.681.997,428013090676.0,369133681997.0
Phải thu khách hàng liên quan đến hoạt động kinh doanh dược phẩm,Phải thu khách hàng liên quan đến hoạt động kinh doanh dược phẩm,Phải thu khách hàng liên quan đến hoạt động kinh doanh dược phẩm,326.764.738.221,293.213.041.302,326764738221.0,293213041302.0
Các khách hàng khác,Các khách hàng khác,Các khách hàng khác,101.248.352.455,75.920.640.695,101248352455.0,75920640695.0
Cộng,Cộng,Cộng,428.564.441.476,369.134.649.119,428564441476.0,369134649119.0
