row_label_raw,row_label_full,Tên công ty,Địa chỉ trụ sở chính,Hoạt động kinh doanh chính,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Địa chỉ trụ sở chính,numeric__Hoạt động kinh doanh chính,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
Tên công ty,Tên công ty,Tên công ty,Địa chỉ trụ sở chính,Hoạt động kinh doanh chính,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,Tỷ lệ lợi ích,Tỷ lệ quyền biểu quyết,,,,,,
Các công ty con của Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Các công ty con của Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Các công ty con của Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Các công ty con của Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Các công ty con của Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Các công ty con của Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Các công ty con của Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Các công ty con của Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,Các công ty con của Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ,,,,,,
Công ty Cổ phần Chế biến Thực phẩm Xuất khẩu Miền Tây (“WFC”) (*),Các công ty con của Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ > Công ty Cổ phần Chế biến Thực phẩm Xuất khẩu Miền Tây (“WFC”) (*),Công ty Cổ phần Chế biến Thực phẩm Xuất khẩu Miền Tây (“WFC”) (*),"KCN Cái Sơn Hàng Bàng, đường Hoàng Quốc Việt, KV4, phường An Bình, quận Ninh Kiều, thành phố Cần Thơ","Chế biến, xuất nhập khẩu nông sản","18,48%","45,00%","18,48%","45,00%",,,0.1848,0.45,0.1848,0.45
Công ty Cổ phần Hạt giống TSC,Các công ty con của Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ > Công ty Cổ phần Hạt giống TSC,Công ty Cổ phần Hạt giống TSC,"1D Phạm Ngũ Lão, phường Thời Bình, quận Ninh Kiều, thành phố Cần Thơ",Kinh doanh hạt giống,"23,67%","57,63%","23,67%","57,63%",,,0.23670000000000002,0.5763,0.23670000000000002,0.5763
Công ty Cổ phần FIT Consumer (“FC”) (**),Các công ty con của Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ > Công ty Cổ phần FIT Consumer (“FC”) (**),Công ty Cổ phần FIT Consumer (“FC”) (**),"1D, Phạm Ngũ Lão, Phường Thới Bình, Quận Ninh Kiều, TP Cần Thơ",Kinh doanh hàng hóa tiêu dùng,"46,35%","100,00%","48,77%","100,00%",,,0.4635,1.0,0.4877,1.0
Công ty Cổ phần Giống Cây trồng Nông Tín,Các công ty con của Công ty Cổ phần Vật tư Kỹ thuật Nông nghiệp Cần Thơ > Công ty Cổ phần Giống Cây trồng Nông Tín,Công ty Cổ phần Giống Cây trồng Nông Tín,"276 Nguyễn Đình Chiều, phường Võ Thị Sáu, Quận 3, thành phố Hồ Chí Minh","Sản xuất, kinh doanh giống cây trồng","31,90%","77,67%","31,90%","77,67%",,,0.319,0.7767000000000001,0.319,0.7767000000000001
Các công ty con của Công ty Cổ phần Dược phẩm Cửu Long,Các công ty con của Công ty Cổ phần Dược phẩm Cửu Long,Các công ty con của Công ty Cổ phần Dược phẩm Cửu Long,Các công ty con của Công ty Cổ phần Dược phẩm Cửu Long,Các công ty con của Công ty Cổ phần Dược phẩm Cửu Long,Các công ty con của Công ty Cổ phần Dược phẩm Cửu Long,Các công ty con của Công ty Cổ phần Dược phẩm Cửu Long,Các công ty con của Công ty Cổ phần Dược phẩm Cửu Long,Các công ty con của Công ty Cổ phần Dược phẩm Cửu Long,,,,,,
"Công ty Liên doanh sản xuất kinh doanh, XNK Dược phẩm và Trang thiết bị y tế","Các công ty con của Công ty Cổ phần Dược phẩm Cửu Long > Công ty Liên doanh sản xuất kinh doanh, XNK Dược phẩm và Trang thiết bị y tế","Công ty Liên doanh sản xuất kinh doanh, XNK Dược phẩm và Trang thiết bị y tế","Số 11, đường Lanexang, bản Hatsady, quận Chanthabory, Lào",Giới thiệu thuốc,"29,61%","51,00%","29,61%","51,00%",,,0.2961,0.51,0.2961,0.51
Công ty TNHH MTV Dược phẩm VPC-Sài Gòn (**),Các công ty con của Công ty Cổ phần Dược phẩm Cửu Long > Công ty TNHH MTV Dược phẩm VPC-Sài Gòn (**),Công ty TNHH MTV Dược phẩm VPC-Sài Gòn (**),"Số 150 đường 14 tháng 9, phường 5, thành phố Vĩnh Long, tỉnh Vĩnh Long","Kinh doanh dược phẩm, dụng cụ y tế","58,05%","100,00%","58,05%","100,00%",,,0.5805,1.0,0.5805,1.0
Công ty Cổ phần Dược phẩm Benovas,Các công ty con của Công ty Cổ phần Dược phẩm Cửu Long > Công ty Cổ phần Dược phẩm Benovas,Công ty Cổ phần Dược phẩm Benovas,"Số 276 Nguyễn Đình Chiều, phường Võ Thị Sáu, quận 3, thành phố Hồ Chí Minh","Kinh doanh dược phẩm, capsule các loại","58,04%","99,98%","58,04%","99,98%",,,0.5804,0.9998,0.5804,0.9998
Công ty Cổ phần Thiết bị Y tế Benovas (“TBYT Benovas”) (**),Các công ty con của Công ty Cổ phần Dược phẩm Cửu Long > Công ty Cổ phần Thiết bị Y tế Benovas (“TBYT Benovas”) (**),Công ty Cổ phần Thiết bị Y tế Benovas (“TBYT Benovas”) (**),"Số 68Đ Tổ 05 Áp Thanh Mỹ 1, xã Thanh Đức, huyện Long Hồ, tỉnh Vĩnh Long","Sản xuất và kinh doanh dụng cụ, trang thiết bị, y tế","58,05%","100,00%","58,05%","100,00%",,,0.5805,1.0,0.5805,1.0
Công ty Cổ phần Thuốc ung thư Benovas,Các công ty con của Công ty Cổ phần Dược phẩm Cửu Long > Công ty Cổ phần Thuốc ung thư Benovas,Công ty Cổ phần Thuốc ung thư Benovas,"Tầng 5, tòa nhà HACC1 Complex tại lô 2.6, đường Lê Văn Lương, phường Nhân Chính, quận Thanh Xuân, thành phố Hà Nội","Sản xuất thuốc, hóa dược và dược liệu","48,76%","84,00%","48,76%","84,00%",,,0.4876,0.84,0.4876,0.84
