row_label_raw,row_label_full,col_0,Vay dài hạnngân hàng,Nợ thuê tài chính,Cộng,numeric__Vay dài hạnngân hàng,numeric__Nợ thuê tài chính,numeric__Cộng
Số đầu năm,Số đầu năm,Số đầu năm,121.963.392.680,98.855.900.600,220.819.293.280,121963392680.0,98855900600.0,220819293280.0
Số tiền vay phát sinh,Số tiền vay phát sinh,Số tiền vay phát sinh,267.108.587.642,25.166.120.000,292.274.707.642,267108587642.0,25166120000.0,292274707642.0
Số tiền vay đã trả,Số tiền vay đã trả,Số tiền vay đã trả,(3.240.000.000),(2.479.413.625),(5.719.413.625),-3240000000.0,-2479413625.0,-5719413625.0
Kết chuyển sang vay và nợthuê tài chính ngắn hạn,Kết chuyển sang vay và nợthuê tài chính ngắn hạn,Kết chuyển sang vay và nợthuê tài chính ngắn hạn,(79.556.166.004),(24.669.784.140),(104.225.950.144),-79556166004.0,-24669784140.0,-104225950144.0
Số cuối năm,Số cuối năm,Số cuối năm,306.275.814.318,96.872.822.835,403.148.637.153,306275814318.0,96872822835.0,403148637153.0
