row_label_raw,row_label_full,col_0,Số đầu năm,Số phát sinh trong năm,Số bù trừ trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phát sinh trong năm,numeric__Số bù trừ trong năm,numeric__Số cuối năm
Thuế GTGT hàng bán nội địa và nhập khẩu,Thuế GTGT hàng bán nội địa và nhập khẩu,Thuế GTGT hàng bán nội địa và nhập khẩu,254.810.131,1.027.656.488,(248.641.062),1.033.825.557,254810131.0,1027656488.0,-248641062.0,1033825557.0
"Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",48.748.228,994.162.872,(918.675.201),124.235.899,48748228.0,994162872.0,-918675201.0,124235899.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,82.875.119,-,(8.800.000),74.075.119,82875119.0,,-8800000.0,74075119.0
"Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",18.475.273,-,(1.881.628),16.593.645,18475273.0,,-1881628.0,16593645.0
Cộng,Cộng,Cộng,404.908.751,2.021.819.360,(1.177.997.891),1.248.730.220,404908751.0,2021819360.0,-1177997891.0,1248730220.0
