row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số đầu năm > Giá trị,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Dự phòng
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,61.012.622.391,(51.649.702.774),56.088.403.581,(52.520.835.397),61012622391.0,-51649702774.0,56088403581.0,-52520835397.0
DNTN Trung Đông,DNTN Trung Đông,DNTN Trung Đông,3.520.000.000,(3.520.000.000),3.520.000.000,(3.520.000.000),3520000000.0,-3520000000.0,3520000000.0,-3520000000.0
Maxwill (Asia) Pte Ltd,Maxwill (Asia) Pte Ltd,Maxwill (Asia) Pte Ltd,3.508.884.959,(3.508.884.959),3.508.884.959,(3.508.884.959),3508884959.0,-3508884959.0,3508884959.0,-3508884959.0
Các khách hàng khác,Các khách hàng khác,Các khách hàng khác,53.983.737.432,(44.620.817.815),49.059.518.622,(45.491.950.438),53983737432.0,-44620817815.0,49059518622.0,-45491950438.0
Phải thu khác,Phải thu khác,Phải thu khác,9.493.224.609,(9.493.224.609),9.465.473.698,(9.465.473.698),9493224609.0,-9493224609.0,9465473698.0,-9465473698.0
Ông Đỗ Văn Tâm,Ông Đỗ Văn Tâm,Ông Đỗ Văn Tâm,3.500.000.000,(3.500.000.000),3.500.000.000,(3.500.000.000),3500000000.0,-3500000000.0,3500000000.0,-3500000000.0
Phải thu tiền tạm ứng,Phải thu tiền tạm ứng,Phải thu tiền tạm ứng,-,-,689.833.740,(689.833.740),,,689833740.0,-689833740.0
Phải thu các khoản chi hộ,Phải thu các khoản chi hộ,Phải thu các khoản chi hộ,3.659.656.462,(3.659.656.462),4.349.490.202,(4.349.490.202),3659656462.0,-3659656462.0,4349490202.0,-4349490202.0
Phải thu các tổ chức và cá nhân khác,Phải thu các tổ chức và cá nhân khác,Phải thu các tổ chức và cá nhân khác,2.333.568.147,(2.333.568.147),926.149.756,(926.149.756),2333568147.0,-2333568147.0,926149756.0,-926149756.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,6.952.470.036,(6.952.470.036),6.952.470.036,(6.952.470.036),6952470036.0,-6952470036.0,6952470036.0,-6952470036.0
Công ty TNHH MTV,Công ty TNHH MTV,Công ty TNHH MTV,2.640.025.020,(2.640.025.020),2.640.025.020,(2.640.025.020),2640025020.0,-2640025020.0,2640025020.0,-2640025020.0
Nông sản Tân Thái Phong,Nông sản Tân Thái Phong,Nông sản Tân Thái Phong,,,,,,,,
Các đối tượng khác,Nông sản Tân Thái Phong > Các đối tượng khác,Các đối tượng khác,4.312.445.016,(4.312.445.016),4.312.445.016,(4.312.445.016),4312445016.0,-4312445016.0,4312445016.0,-4312445016.0
Cộng,Nông sản Tân Thái Phong > Cộng,Cộng,77.458.317.036,(68.095.397.419),72.506.347.315,(68.938.779.131),77458317036.0,-68095397419.0,72506347315.0,-68938779131.0
