row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích của Cổ đông không kiểm soát,Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích của Cổ đông không kiểm soát,numeric__Cộng
Số dư tại 01/01/2023,Số dư tại 01/01/2023,Số dư tại 01/01/2023,3.399.330.340.000,74.895.160.642,80.481.887.391,646.388.781,292.107.808.175,2.015.806.494.922,5.863.268.079.911,3399330340000.0,74895160642.0,80481887391.0,646388781.0,292107808175.0,2015806494922.0,5863268079911.0
Cổ đông không kiểm soát tại Công ty con góp thêm vốn,Cổ đông không kiểm soát tại Công ty con góp thêm vốn,Cổ đông không kiểm soát tại Công ty con góp thêm vốn,-,-,-,-,-,3.000.000.000,3.000.000.000,,,,,,3000000000.0,3000000000.0
Anh hưởng do thay đổi tỷ lệ sở hữu tại Charlotte,Anh hưởng do thay đổi tỷ lệ sở hữu tại Charlotte,Anh hưởng do thay đổi tỷ lệ sở hữu tại Charlotte,-,-,-,-,226.628(135.504.717.357),(226.628)37.305.347.253,- (98.199.370.104),,,,,,,
Lợi nhuận năm 2023,Lợi nhuận năm 2023,Lợi nhuận năm 2023,-,-,-,-,226.628(135.504.717.357),(226.628)37.305.347.253,- (98.199.370.104),,,,,,,
Trích lập các quỹ tại Công ty con,Lợi nhuận năm 2023 > Trích lập các quỹ tại Công ty con,Trích lập các quỹ tại Công ty con,,,,,(1.741.594.389),(1.258.405.611),(3.000.000.000),,,,,-1741594389.0,-1258405611.0,-3000000000.0
Số dư tại 31/12/2023,Lợi nhuận năm 2023 > Số dư tại 31/12/2023,Số dư tại 31/12/2023,3.399.330.340.000,74.895.160.642,80.481.887.391,646.388.781,154.861.723.057,2.054.853.209.936,5.765.068.709.807,3399330340000.0,74895160642.0,80481887391.0,646388781.0,154861723057.0,2054853209936.0,5765068709807.0
Số dư tại 01/01/2024,Lợi nhuận năm 2023 > Số dư tại 01/01/2024,Số dư tại 01/01/2024,3.399.330.340.000,74.895.160.642,80.481.887.391,646.388.781,154.861.723.057,2.054.853.209.936,5.765.068.709.807,3399330340000.0,74895160642.0,80481887391.0,646388781.0,154861723057.0,2054853209936.0,5765068709807.0
Lợi nhuận năm 2024,Lợi nhuận năm 2023 > Lợi nhuận năm 2024,Lợi nhuận năm 2024,-,-,-,-,119.263.581.349,57.239.753.511,176.503.302.953,,,,,119263581349.0,57239753511.0,176503302953.0
Thay đổi tỷ lệ lợi ích tại FC do FIT chuyển nhượng vốn cho TSC,Lợi nhuận năm 2023 > Thay đổi tỷ lệ lợi ích tại FC do FIT chuyển nhượng vốn cho TSC,Thay đổi tỷ lệ lợi ích tại FC do FIT chuyển nhượng vốn cho TSC,-,-,-,-,(2.465.095.623),2.465.095.623,-,,,,,-2465095623.0,2465095623.0,
Thay đổi tỷ lệ lợi ích tại VKD do mua thêm cổ phần FC,Lợi nhuận năm 2023 > Thay đổi tỷ lệ lợi ích tại VKD do mua thêm cổ phần FC,Thay đổi tỷ lệ lợi ích tại VKD do mua thêm cổ phần FC,-,(21.129),-,514.569.122,7.950.547.631,(8.465.095.624),-,,-21129.0,,514569122.0,7950547631.0,-8465095624.0,
Thay đổi tỷ lệ lợi ích do thanh lý hợp đồng ủy thác cổ phần WHG,Lợi nhuận năm 2023 > Thay đổi tỷ lệ lợi ích do thanh lý hợp đồng ủy thác cổ phần WHG,Thay đổi tỷ lệ lợi ích do thanh lý hợp đồng ủy thác cổ phần WHG,-,-,-,-,-,1.400.000.000,1.400.000.000,,,,,,1400000000.0,1400000000.0
Trích lập các quỹ tại Công ty con,Lợi nhuận năm 2023 > Trích lập các quỹ tại Công ty con,Trích lập các quỹ tại Công ty con,-,-,-,-,(1.226.253.648),(1.126.481.360),(2.352.735.008),,,,,-1226253648.0,-1126481360.0,-2352735008.0
Tăng khác,Lợi nhuận năm 2023 > Tăng khác,Tăng khác,-,-,-,-,148.482.910,107.287.742,255.770.652,,,,,148482910.0,107287742.0,255770652.0
Số dư tại 31/12/2024,Lợi nhuận năm 2023 > Số dư tại 31/12/2024,Số dư tại 31/12/2024,3.399.330.340.000,74.895.139.513,80.481.887.391,1.160.957.903,278.532.985.676,2.106.473.769.828,5.940.875.048.404,3399330340000.0,74895139513.0,80481887391.0,1160957903.0,278532985676.0,2106473769828.0,5940875048404.0
