row_label_raw,row_label_full,Bên cho vay,Loại tiền,31/12/2019 VND,1/1/2019 VND,numeric__Loại tiền,numeric__31/12/2019 VND,numeric__1/1/2019 VND
"Các khoản vay được đảm bảo Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh, một bên liên quan","Các khoản vay được đảm bảo Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh, một bên liên quan","Các khoản vay được đảm bảo Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh, một bên liên quan",USD,1.366.643.484.671,1.224.380.942.780,,1366643484671.0,1224380942780.0
Các khoản vay không được đảm bảo Ngân hàng TMCP Công thương Việt Nam,Các khoản vay không được đảm bảo Ngân hàng TMCP Công thương Việt Nam,Các khoản vay không được đảm bảo Ngân hàng TMCP Công thương Việt Nam,VND,2.398.451.410.411,-,,2398451410411.0,
Ngân hàng TNHH Một Thành Viên HSBC Việt Nam,Ngân hàng TNHH Một Thành Viên HSBC Việt Nam,Ngân hàng TNHH Một Thành Viên HSBC Việt Nam,VND,950.427.034.104,22.484.736.412,,950427034104.0,22484736412.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,VND,899.694.699.335,1.378.354.608.081,,899694699335.0,1378354608081.0
"Ngân hàng TNHH Một Thành Viên Woori Việt Nam, Chi nhánh Thành phố Hồ Chí Minh","Ngân hàng TNHH Một Thành Viên Woori Việt Nam, Chi nhánh Thành phố Hồ Chí Minh","Ngân hàng TNHH Một Thành Viên Woori Việt Nam, Chi nhánh Thành phố Hồ Chí Minh",VND,617.544.457.880,-,,617544457880.0,
Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,Ngân hàng TMCP Ngoại thương Việt Nam,VND,498.769.230.200,-,,498769230200.0,
"Ngân hàng Citibank, N.A., Chi nhánh Thành phố Hồ Chí Minh","Ngân hàng Citibank, N.A., Chi nhánh Thành phố Hồ Chí Minh","Ngân hàng Citibank, N.A., Chi nhánh Thành phố Hồ Chí Minh",VND,483.399.422.787,317.121.228.150,,483399422787.0,317121228150.0
Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,Ngân hàng TMCP Quân đội,VND,291.680.216.686,1.364.639.205.779,,291680216686.0,1364639205779.0
Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,Ngân hàng TMCP Hàng hải Việt Nam,USD,268.808.055.678,-,,268808055678.0,
"Ngân hàng JPMorgan Chase N.A., Chi nhánh Thành phố Hồ Chí Minh","Ngân hàng JPMorgan Chase N.A., Chi nhánh Thành phố Hồ Chí Minh","Ngân hàng JPMorgan Chase N.A., Chi nhánh Thành phố Hồ Chí Minh",USD,134.342.641.635,-,,134342641635.0,
Ngân hàng TMCP Kỹ thương Việt Nam,Ngân hàng TMCP Kỹ thương Việt Nam,Ngân hàng TMCP Kỹ thương Việt Nam,USD,77.771.609.445,-,,77771609445.0,
"Ngân hàng BNP Parispas, Chi nhánh Thành phố Hồ Chí Minh","Ngân hàng BNP Parispas, Chi nhánh Thành phố Hồ Chí Minh","Ngân hàng BNP Parispas, Chi nhánh Thành phố Hồ Chí Minh",VND,54.799.909.203,-,,54799909203.0,
"Ngân hàng TNHH Một Thành Viên United Overseas Bank Việt Nam, Chi nhánh Thành phố Hồ Chí Minh","Ngân hàng TNHH Một Thành Viên United Overseas Bank Việt Nam, Chi nhánh Thành phố Hồ Chí Minh","Ngân hàng TNHH Một Thành Viên United Overseas Bank Việt Nam, Chi nhánh Thành phố Hồ Chí Minh",VND,51.529.456.152,135.467.261.751,,51529456152.0,135467261751.0
"Công ty Cổ phần Đầu tư Tài chính Satona, một bên liên quan","Công ty Cổ phần Đầu tư Tài chính Satona, một bên liên quan","Công ty Cổ phần Đầu tư Tài chính Satona, một bên liên quan",VND,-,150.000.000.000,,,150000000000.0
"Công ty TNHH Đầu tư Hướng Dương Sunny, một bên liên quan","Công ty TNHH Đầu tư Hướng Dương Sunny, một bên liên quan","Công ty TNHH Đầu tư Hướng Dương Sunny, một bên liên quan",VND,-,300.000.000.000,,,300000000000.0
,,,,8.093.861.628.187,4.892.447.982.953,,8093861628187.0,4892447982953.0
