row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2019 VND,1/1/2019 VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2019 VND,numeric__1/1/2019 VND
Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),Tài sản ngắn hạn(\( 100 = 110 + 120 + 130 + 140 + 150 \)),100,,19.600.590.305.525,16.727.030.230.311,100.0,,19600590305525.0,16727030230311.0
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,5,5.355.816.155.352,7.156.359.241.738,110.0,5.0,5355816155352.0,7156359241738.0
Tiền,Tiền,Tiền,111,,3.815.637.517.972,3.640.399.241.738,111.0,,3815637517972.0,3640399241738.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,112,,1.540.178.637.380,3.515.960.000.000,112.0,,1540178637380.0,3515960000000.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,,1.144.756.800.000,815.500.000.000,120.0,,1144756800000.0,815500000000.0
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,121,6(a),990.000.000.000,990.000.000.000,121.0,,990000000000.0,990000000000.0
Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,122,6(a),(555.000.000.000),(174.500.000.000),122.0,,-555000000000.0,-174500000000.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,123,6(c),709.756.800.000,-,123.0,,709756800000.0,
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,11.906.623.124.337,7.931.509.214.723,130.0,,11906623124337.0,7931509214723.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,7,3.334.187.094.292,1.220.013.565.836,131.0,7.0,3334187094292.0,1220013565836.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,,186.825.273.966,129.927.091.931,132.0,,186825273966.0,129927091931.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,9(a),8.385.610.756.079,6.581.568.556.956,136.0,,8385610756079.0,6581568556956.0
