row_label_raw,row_label_full,col_0,Thuyết minh,31/12/2019 VND,1/1/2019 VND,numeric__Thuyết minh,numeric__31/12/2019 VND,numeric__1/1/2019 VND
Các bên liên quan,Các bên liên quan,Các bên liên quan,Các bên liên quan,Các bên liên quan,Các bên liên quan,,,
"Chi phí trả hộ Thai Vietjet Air Joint Stock Co., Ltd.","Các bên liên quan > Chi phí trả hộ Thai Vietjet Air Joint Stock Co., Ltd.","Chi phí trả hộ Thai Vietjet Air Joint Stock Co., Ltd.",(i),468.344.946.987,468.344.946.987,,468344946987.0,468344946987.0
Khoản phải thu khác từ Angelica Holding Limited,Các bên liên quan > Khoản phải thu khác từ Angelica Holding Limited,Khoản phải thu khác từ Angelica Holding Limited,(ii),295.750.000.000,295.750.000.000,,295750000000.0,295750000000.0
Đóng góp vào quỹ bảo dưỡng tàu bay thuê cho Apricot Aircraft Assets Limited,Các bên liên quan > Đóng góp vào quỹ bảo dưỡng tàu bay thuê cho Apricot Aircraft Assets Limited,Đóng góp vào quỹ bảo dưỡng tàu bay thuê cho Apricot Aircraft Assets Limited,(iii),175.334.729.490,109.056.626.997,,175334729490.0,109056626997.0
Đặt cọc thuê tàu bay cho Apricot Aircraft Assets Limited,Các bên liên quan > Đặt cọc thuê tàu bay cho Apricot Aircraft Assets Limited,Đặt cọc thuê tàu bay cho Apricot Aircraft Assets Limited,(iii),36.772.632.000,36.844.236.000,,36772632000.0,36844236000.0
Đặt cọc thuê văn phòng và trung tâm thương mại,Các bên liên quan > Đặt cọc thuê văn phòng và trung tâm thương mại,Đặt cọc thuê văn phòng và trung tâm thương mại,(iv),623.500.000.000,-,,623500000000.0,
Các bên thứ ba,Các bên thứ ba,Các bên thứ ba,Các bên thứ ba,Các bên thứ ba,Các bên thứ ba,,,
Đóng góp vào quỹ bảo dưỡng tàu bay thuê,Các bên thứ ba > Đóng góp vào quỹ bảo dưỡng tàu bay thuê,Đóng góp vào quỹ bảo dưỡng tàu bay thuê,,6.219.507.324.321,5.460.891.081.018,,6219507324321.0,5460891081018.0
Đặt cọc mua tàu bay nhận sau 12 tháng tiếp theo,Các bên thứ ba > Đặt cọc mua tàu bay nhận sau 12 tháng tiếp theo,Đặt cọc mua tàu bay nhận sau 12 tháng tiếp theo,(v),5.187.416.574.363,2.407.437.182.227,,5187416574363.0,2407437182227.0
Đặt cọc thuê tàu bay,Các bên thứ ba > Đặt cọc thuê tàu bay,Đặt cọc thuê tàu bay,,1.222.663.033.075,1.046.702.306.276,,1222663033075.0,1046702306276.0
Phải thu dài hạn khác,Các bên thứ ba > Phải thu dài hạn khác,Phải thu dài hạn khác,,33.259.905.542,49.139.844.330,,33259905542.0,49139844330.0
,,,,14.262.549.145.778,9.874.166.223.835,,14262549145778.0,9874166223835.0
