row_label_raw,row_label_full,col_0,col_1,2024triệu đồng,2023triệu đồng,numeric__col_1,numeric__2024triệu đồng,numeric__2023triệu đồng
1. Thủ lao Hội đồng Quản trịÔng Lưu Trung Thái,1. Thủ lao Hội đồng Quản trịÔng Lưu Trung Thái,1. Thủ lao Hội đồng Quản trịÔng Lưu Trung Thái,Chức danhChủ tịch(bổ nhiệm từ ngày 12 tháng 4 năm 2023),13.618,15.153,,13618.0,15153.0
1. Thủ lao Hội đồng Quản trịÔng Lưu Trung Thái,1. Thủ lao Hội đồng Quản trịÔng Lưu Trung Thái,1. Thủ lao Hội đồng Quản trịÔng Lưu Trung Thái,Chức danhChủ tịch(bổ nhiệm từ ngày 12 tháng 4 năm 2023),3.258,1.989,,3258.0,1989.0
Ông Lê Hữu Đức,Ông Lê Hữu Đức,Ông Lê Hữu Đức,Chủ tịch(miễn nhiệm từ ngày 12 tháng 4 năm 2023),-,958,,,958.0
Bà Vũ Thị Hải Phương,Bà Vũ Thị Hải Phương,Bà Vũ Thị Hải Phương,Phó Chủ tịch HDQTThành viên HDQT,2.575,2.576,,2575.0,2576.0
Bà Nguyễn Thị Ngọc,Bà Nguyễn Thị Ngọc,Bà Nguyễn Thị Ngọc,(miễn nhiệm ngày 15 tháng 6 năm 2024),1.301,2.409,,1301.0,2409.0
Bà Nguyễn Thị Ngọc,Bà Nguyễn Thị Ngọc,Bà Nguyễn Thị Ngọc,Thành viên HDQT(miễn nhiệm ngày 15 tháng 6 năm 2024),1.301,2.409,,1301.0,2409.0
Bà Nguyễn Thị Thủy,Bà Nguyễn Thị Thủy,Bà Nguyễn Thị Thủy,Thành viên HDQTThành viên HDQT độc lập(bổ nhiệm ngày 15 tháng 6 năm 2024),2.089,2.018,,2089.0,2018.0
Bà Nguyễn Thị Thủy,Bà Nguyễn Thị Thủy,Bà Nguyễn Thị Thủy,Thành viên HDQTThành viên HDQT độc lập(bổ nhiệm ngày 15 tháng 6 năm 2024),152,-,,152.0,
Ông Lê Việt Hải,Ông Lê Việt Hải,Ông Lê Việt Hải,Thành viên HDQT độc lập(đến ngày 15 tháng 6 năm 2024),326,586,,326.0,586.0
Ông Hoàng Văn SầmÔng Trần Trung Tín,Ông Hoàng Văn SầmÔng Trần Trung Tín,Ông Hoàng Văn SầmÔng Trần Trung Tín,,2.616,2.208,,2616.0,2208.0
Ông Hoàng Văn SầmÔng Trần Trung Tín,Ông Hoàng Văn SầmÔng Trần Trung Tín,Ông Hoàng Văn SầmÔng Trần Trung Tín,,7.040,6.340,,7040.0,6340.0
Thù lao trả cho thành viên Hội đồngQuản trị thông qua doanh nghiệp cửngười đại diện (5 người),Thù lao trả cho thành viên Hội đồngQuản trị thông qua doanh nghiệp cửngười đại diện (5 người),Thù lao trả cho thành viên Hội đồngQuản trị thông qua doanh nghiệp cửngười đại diện (5 người),,,,,,
2. Ban Kiểm soát,2. Ban Kiểm soát,2. Ban Kiểm soát,,,,,,
"3. Tiền lương của Tổng Giám đốc vàcác Phó Tổng Giám đốc, TV BDH","2. Ban Kiểm soát > 3. Tiền lương của Tổng Giám đốc vàcác Phó Tổng Giám đốc, TV BDH","3. Tiền lương của Tổng Giám đốc vàcác Phó Tổng Giám đốc, TV BDH",,29.015,25.358,,29015.0,25358.0
Ông Lưu Trung Thái,2. Ban Kiểm soát > Ông Lưu Trung Thái,Ông Lưu Trung Thái,Tổng Giám đốc(miễn nhiệm từ ngày 12 tháng 4 năm 2023),-,1.253,,,1253.0
Ông Phạm Như Ánh,2. Ban Kiểm soát > Ông Phạm Như Ánh,Ông Phạm Như Ánh,Tổng Giám đốc(bổ nhiệm từ ngày 18 tháng 5 năm 2023),3.248,2.688,,3248.0,2688.0
Bà Nguyễn Minh Châu,2. Ban Kiểm soát > Bà Nguyễn Minh Châu,Bà Nguyễn Minh Châu,Phó Tổng Giám đốc,3.044,2.834,,3044.0,2834.0
Ông Trần Minh Đạt,2. Ban Kiểm soát > Ông Trần Minh Đạt,Ông Trần Minh Đạt,Phó Tổng Giám đốc,2.618,2.364,,2618.0,2364.0
Bà Phạm Thị Trung Hà,2. Ban Kiểm soát > Bà Phạm Thị Trung Hà,Bà Phạm Thị Trung Hà,Phó Tổng Giám đốc,2.941,2.761,,2941.0,2761.0
Ông Hà Trọng Khiềm,2. Ban Kiểm soát > Ông Hà Trọng Khiềm,Ông Hà Trọng Khiềm,Phó Tổng Giám đốc,2.440,2.258,,2440.0,2258.0
Ông Lê Quốc Minh,2. Ban Kiểm soát > Ông Lê Quốc Minh,Ông Lê Quốc Minh,Phó Tổng Giám đốc,2.416,2.233,,2416.0,2233.0
Ông Nguyễn Xuân Học,2. Ban Kiểm soát > Ông Nguyễn Xuân Học,Ông Nguyễn Xuân Học,Phó Tổng Giám đốc(Bổ nhiệm ngày 2 tháng 7 năm 2024),1.851,1.713,,1851.0,1713.0
Ông Vũ Thành Trung,2. Ban Kiểm soát > Ông Vũ Thành Trung,Ông Vũ Thành Trung,Thành viên Ban Điều hành(Thời giữ chức vụ từ ngày 10 tháng 12 năm 2024),1.817,1.697,,1817.0,1697.0
Ông Vũ Hồng Phú,2. Ban Kiểm soát > Ông Vũ Hồng Phú,Ông Vũ Hồng Phú,Thành viên Ban Điều hành,1.841,1.710,,1841.0,1710.0
Bà Trần Thị Bảo Quế,2. Ban Kiểm soát > Bà Trần Thị Bảo Quế,Bà Trần Thị Bảo Quế,Thành viên Ban Điều hành,1.931,1.792,,1931.0,1792.0
Bà Nguyễn Thị Ngọc,2. Ban Kiểm soát > Bà Nguyễn Thị Ngọc,Bà Nguyễn Thị Ngọc,Thành viên Ban Điều hành(Từ ngày 15 tháng 6 năm 2024),1.355,-,,1355.0,
Bà Nguyễn Thị Thủy,2. Ban Kiểm soát > Bà Nguyễn Thị Thủy,Bà Nguyễn Thị Thủy,Thành viên Ban Điều hành(Từ ngày 15 tháng 6 năm 2024),1.339,-,,1339.0,
Ông Lê Xuân Vũ,2. Ban Kiểm soát > Ông Lê Xuân Vũ,Ông Lê Xuân Vũ,Thành viên Ban Điều hành(Thời giữ chức vụ từ ngày 10 tháng 12 năm 2024),2.174,2.055,,2174.0,2055.0
