row_label_raw,row_label_full,col_0,Vốn điều lệ triệu đồng,Thăng dư cổ phần triệu đồng,Vốn khác triệu đồng,Quỹ dự phòng tài chính triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,Quỹ khác triệu đồng,Chênh lệch tỷ giá hối đoái triệu đồng,Lợi nhuận chưa phân phối triệu đồng,Lợi ích cổ đông không kiểm soát triệu đồng,Tổng cộng triệu đồng,numeric__Vốn điều lệ triệu đồng,numeric__Thăng dư cổ phần triệu đồng,numeric__Vốn khác triệu đồng,numeric__Quỹ dự phòng tài chính triệu đồng,numeric__Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,numeric__Quỹ khác triệu đồng,numeric__Chênh lệch tỷ giá hối đoái triệu đồng,numeric__Lợi nhuận chưa phân phối triệu đồng,numeric__Lợi ích cổ đông không kiểm soát triệu đồng,numeric__Tổng cộng triệu đồng
Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,45.339.861,869.327,1.387.521,5.678.339,2.952.327,657.952,-,19.063.767,3.664.125,79.613.219,45339861.0,869327.0,1387521.0,5678339.0,2952327.0,657952.0,,19063767.0,3664125.0,79613219.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,20.676.788,377.004,21.053.792,,,,,,,,20676788.0,377004.0,21053792.0
Trích lập quỹ trong năm,Trích lập quỹ trong năm,Trích lập quỹ trong năm,-,-,-,1.678.989,1.202.817,410.122,-,(3.291.928),-,-,,,,1678989.0,1202817.0,410122.0,,-3291928.0,,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,-,-,-,(1.395.150),(38.759),(1.433.909),,,,,,,,-1395150.0,-38759.0,-1433909.0
Sử dụng trong năm,Sử dụng trong năm,Sử dụng trong năm,-,-,-,-,-,(249.380),-,-,-,(249.380),,,,,,-249380.0,,,,-249380.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,6.800.980,-,-,-,-,-,-,(6.800.980),-,-,6800980.0,,,,,,,-6800980.0,,
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,-,-,-,-,(2.266.993),(27.500),(2.294.493),,,,,,,,-2266993.0,-27500.0,-2294493.0
Tăng vốn của công ty con,Tăng vốn của công ty con,Tăng vốn của công ty con,,-,540.681,(57.392),(78.610),-,-,(404.679),-,-,,,540681.0,-57392.0,-78610.0,,,-404679.0,,
Biến động khác,Biến động khác,Biến động khác,-,-,56,-,(96),-,-,(13.816),(1.760),(15.616),,,56.0,,-96.0,,,-13816.0,-1760.0,-15616.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,-,-,(1.137),45.939,(7.256),-,37.546,,,,,,-1137.0,45939.0,-7256.0,,37546.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,52.140.841,869.327,1.928.258,7.299.936,4.076.438,817.557,45.939,25.559.753,3.973.110,96.711.159,52140841.0,869327.0,1928258.0,7299936.0,4076438.0,817557.0,45939.0,25559753.0,3973110.0,96711159.0
