row_label_raw,row_label_full,col_0,Số đầu năm,Phát sinh trong năm,Phát sinh trong năm_1,Số cuối năm,numeric__Số đầu năm,numeric__Phát sinh trong năm,numeric__Phát sinh trong năm_1,numeric__Số cuối năm
,,,Phải trả triệu đồng,Phát sinh tăng triệu đồng,Phát sinh giảm triệu đồng,Phải trả triệu đồng,,,,
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,111.864,894.446,(887.781),118.529,111864.0,894446.0,-887781.0,118529.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,3.322.906,5.899.087,(6.021.975),3.200.018,3322906.0,5899087.0,-6021975.0,3200018.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,104.691,1.866.604,(1.715.633),255.662,104691.0,1866604.0,-1715633.0,255662.0
,,,3.539.461,8.660.137,(8.625.389),3.574.209,3539461.0,8660137.0,-8625389.0,3574209.0
Năm kết thúc ngày 31 tháng 12 năm 2023:,Năm kết thúc ngày 31 tháng 12 năm 2023:,Năm kết thúc ngày 31 tháng 12 năm 2023:,Năm kết thúc ngày 31 tháng 12 năm 2023:,Năm kết thúc ngày 31 tháng 12 năm 2023:,Năm kết thúc ngày 31 tháng 12 năm 2023:,Năm kết thúc ngày 31 tháng 12 năm 2023:,,,,
,,,Số đầu năm,Phát sinh trong năm,Phát sinh trong năm,Số cuối năm,,,,
,,,Phải trả triệu đồng,Phát sinh tăng triệu đồng,Phát sinh giảm triệu đồng,Phải trả triệu đồng,,,,
Thuế giá trị gia tăng,Năm kết thúc ngày 31 tháng 12 năm 2023: > Thuế giá trị gia tăng,Thuế giá trị gia tăng,91.496,871.451,(851.083),111.864,91496.0,871451.0,-851083.0,111864.0
Thuế thu nhập doanh nghiệp,Năm kết thúc ngày 31 tháng 12 năm 2023: > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,3.127.484,5.273.512,(5.078.090),3.322.906,3127484.0,5273512.0,-5078090.0,3322906.0
Các loại thuế khác,Năm kết thúc ngày 31 tháng 12 năm 2023: > Các loại thuế khác,Các loại thuế khác,116.387,1.577.020,(1.588.716),104.691,116387.0,1577020.0,-1588716.0,104691.0
,,,3.335.367,7.721.983,(7.517.889),3.539.461,3335367.0,7721983.0,-7517889.0,3539461.0
