row_label_raw,row_label_full,col_0,Tài chính ngân hàng triệu đồng,Chứng khoán – Quản lý quỹ triệu đồng,Bảo hiểm triệu đồng,Khai thác nợ - Quản lý tài sản triệu đồng,Loại trừ triệu đồng,Tổng cộng triệu đồng,numeric__Tài chính ngân hàng triệu đồng,numeric__Chứng khoán – Quản lý quỹ triệu đồng,numeric__Bảo hiểm triệu đồng,numeric__Khai thác nợ - Quản lý tài sản triệu đồng,numeric__Loại trừ triệu đồng,numeric__Tổng cộng triệu đồng
I. Thu nhập,I. Thu nhập,I. Thu nhập,173.430.359,1.886.673,9.313.473,1.201.031,(92.636.688),93.194.848,173430359.0,1886673.0,9313473.0,1201031.0,-92636688.0,93194848.0
1. Thu nhập lãi và các khoản thu nhập tương tự,1. Thu nhập lãi và các khoản thu nhập tương tự,1. Thu nhập lãi và các khoản thu nhập tương tự,68.017.459,1.028.466,871.417,31.612,(805.911),69.143.043,68017459.0,1028466.0,871417.0,31612.0,-805911.0,69143043.0
2. Thu nhập hoạt động dịch vụ,2. Thu nhập hoạt động dịch vụ,2. Thu nhập hoạt động dịch vụ,5.572.987,691.748,8.337.209,1.145.090,(2.609.410),13.137.624,5572987.0,691748.0,8337209.0,1145090.0,-2609410.0,13137624.0
3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,99.839.913,166.459,104.847,24.329,(89.221.367),10.914.181,99839913.0,166459.0,104847.0,24329.0,-89221367.0,10914181.0
II. Chi phí,II. Chi phí,II. Chi phí,(142.682.793),(1.143.968),(8.897.937),(713.717),92.636.688,(60.801.727),-142682793.0,-1143968.0,-8897937.0,-713717.0,92636688.0,-60801727.0
1. Chi phí lãi và các khoản chi phí tương tự,1. Chi phí lãi và các khoản chi phí tương tự,1. Chi phí lãi và các khoản chi phí tương tự,(31.511.869),(363.940),(1.309),-,1.417.923,(30.459.195),-31511869.0,-363940.0,-1309.0,,1417923.0,-30459195.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,(1.217.864),(61.430),(167.951),(15.428),-,(1.462.673),-1217864.0,-61430.0,-167951.0,-15428.0,,-1462673.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(109.953.060),(718.598),(8.728.677),(698.289),91.218.765,(28.879.859),-109953060.0,-718598.0,-8728677.0,-698289.0,91218765.0,-28879859.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,30.747.566,742.705,415.536,487.314,-,32.393.121,30747566.0,742705.0,415536.0,487314.0,,32393121.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(6.136.058),(40.942),90.849,(881),-,(6.087.032),-6136058.0,-40942.0,90849.0,-881.0,,-6087032.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,24.611.508,701.763,506.385,486.433,-,26.306.089,24611508.0,701763.0,506385.0,486433.0,,26306089.0
