row_label_raw,row_label_full,col_0,Năm 2024 triệu đồng,Năm 2023 triệu đồng,numeric__Năm 2024 triệu đồng,numeric__Năm 2023 triệu đồng
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,14.602.602,13.137.624,14602602.0,13137624.0
Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,3.350.501,2.736.134,3350501.0,2736134.0
Thu từ hoạt động môi giới chứng khoán,Thu từ hoạt động môi giới chứng khoán,Thu từ hoạt động môi giới chứng khoán,628.155,614.616,628155.0,614616.0
"Thu từ xử lý nợ, thẩm định giá và khai thác tài sản","Thu từ xử lý nợ, thẩm định giá và khai thác tài sản","Thu từ xử lý nợ, thẩm định giá và khai thác tài sản",494.094,369.032,494094.0,369032.0
"Thu từ kinh doanh, dịch vụ bảo hiểm và doanh thu phí bảo hiểm gốc","Thu từ kinh doanh, dịch vụ bảo hiểm và doanh thu phí bảo hiểm gốc","Thu từ kinh doanh, dịch vụ bảo hiểm và doanh thu phí bảo hiểm gốc",8.443.178,8.228.367,8443178.0,8228367.0
Thu từ dịch vụ tư vấn,Thu từ dịch vụ tư vấn,Thu từ dịch vụ tư vấn,280.325,177.958,280325.0,177958.0
Thu từ dịch vụ đại lý nhận ủy thác,Thu từ dịch vụ đại lý nhận ủy thác,Thu từ dịch vụ đại lý nhận ủy thác,27.002,23.764,27002.0,23764.0
Thu từ dịch vụ ngân quỹ,Thu từ dịch vụ ngân quỹ,Thu từ dịch vụ ngân quỹ,8.520,8.281,8520.0,8281.0
Thu phí khác,Thu phí khác,Thu phí khác,1.370.827,979.472,1370827.0,979472.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,(10.234.353),(9.052.399),-10234353.0,-9052399.0
Chi về dịch vụ thanh toán,Chi về dịch vụ thanh toán,Chi về dịch vụ thanh toán,(2.253.715),(1.890.813),-2253715.0,-1890813.0
Chi phí hoa hồng môi giới,Chi phí hoa hồng môi giới,Chi phí hoa hồng môi giới,(1.046.664),(1.389.164),-1046664.0,-1389164.0
"Chi về xử lý nợ, thẩm định giá và khai thác tài sản","Chi về xử lý nợ, thẩm định giá và khai thác tài sản","Chi về xử lý nợ, thẩm định giá và khai thác tài sản",(440.761),(263.166),-440761.0,-263166.0
Chi về hoạt động kinh doanh bảo hiểm,Chi về hoạt động kinh doanh bảo hiểm,Chi về hoạt động kinh doanh bảo hiểm,(6.174.019),(5.164.963),-6174019.0,-5164963.0
Chi về hoạt động môi giới chứng khoán,Chi về hoạt động môi giới chứng khoán,Chi về hoạt động môi giới chứng khoán,(146.539),(124.391),-146539.0,-124391.0
Chi về nghiệp vụ ủy thác và đại lý,Chi về nghiệp vụ ủy thác và đại lý,Chi về nghiệp vụ ủy thác và đại lý,(18.063),(15.091),-18063.0,-15091.0
Chi về dịch vụ tư vấn,Chi về dịch vụ tư vấn,Chi về dịch vụ tư vấn,-,(23.486),,-23486.0
Chi về hoạt động ngân quỹ,Chi về hoạt động ngân quỹ,Chi về hoạt động ngân quỹ,(31.790),(16.027),-31790.0,-16027.0
Chi khác,Chi khác,Chi khác,(122.802),(165.298),-122802.0,-165298.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,4.368.249,4.085.225,4368249.0,4085225.0
