row_label_raw,row_label_full,col_0,Thuyết minh,31/12/2024 triệu đồng,31/12/2023 triệu đồng,numeric__Thuyết minh,numeric__31/12/2024 triệu đồng,numeric__31/12/2023 triệu đồng
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước,NỘ PHẢI TRẢ > Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,20,8.156.285,8.738,20.0,8156285.0,8738.0
Tiền gửi và vay các tổ chức tín dụng khác,NỘ PHẢI TRẢ > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,,110.169.585,99.810.466,,110169585.0,99810466.0
Tiền gửi của các tổ chức tín dụng khác,NỘ PHẢI TRẢ > Tiền gửi của các tổ chức tín dụng khác,Tiền gửi của các tổ chức tín dụng khác,21.1,79.515.610,68.812.883,211.0,79515610.0,68812883.0
Vay các tổ chức tín dụng khác,NỘ PHẢI TRẢ > Vay các tổ chức tín dụng khác,Vay các tổ chức tín dụng khác,21.2,30.653.975,30.997.583,212.0,30653975.0,30997583.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,22,714.154.479,567.532.577,22.0,714154479.0,567532577.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,NỘ PHẢI TRẢ > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,9,191.545,-,9.0,191545.0,
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","NỘ PHẢI TRẢ > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",23,2.793.453,2.799.863,23.0,2793453.0,2799863.0
Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,24,128.964.033,126.463.110,24.0,128964033.0,126463110.0
Các khoản nợ khác,NỘ PHẢI TRẢ > Các khoản nợ khác,Các khoản nợ khác,,47.312.101,51.627.727,,47312101.0,51627727.0
"Các khoản lãi, phí phải trả","NỘ PHẢI TRẢ > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",25.1,9.899.902,13.390.191,251.0,9899902.0,13390191.0
Các khoản phải trả và công nợ khác,NỘ PHẢI TRẢ > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,25.2,37.411.147,38.236.542,252.0,37411147.0,38236542.0
Dự phòng các khoản nợ khác,NỘ PHẢI TRẢ > Dự phòng các khoản nợ khác,Dự phòng các khoản nợ khác,,1.052,994,,1052.0,994.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,1.011.741.481,848.242.481,,1011741481.0,848242481.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,,,
Vốn của tổ chức tín dụng,VỐN CHỦ SỞ HỮU > Vốn của tổ chức tín dụng,Vốn của tổ chức tín dụng,,56.295.833,54.938.426,,56295833.0,54938426.0
Vốn điều lệ,VỐN CHỦ SỞ HỮU > Vốn điều lệ,Vốn điều lệ,,53.063.241,52.140.841,,53063241.0,52140841.0
Thặng dư vốn cổ phần,VỐN CHỦ SỞ HỮU > Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,,1.304.334,869.327,,1304334.0,869327.0
Vốn khác,VỐN CHỦ SỞ HỮU > Vốn khác,Vốn khác,,1.928.258,1.928.258,,1928258.0,1928258.0
Các quỹ của tổ chức tín dụng,VỐN CHỦ SỞ HỮU > Các quỹ của tổ chức tín dụng,Các quỹ của tổ chức tín dụng,,14.996.847,12.193.931,,14996847.0,12193931.0
Chênh lệch tỷ giá hối đoái,VỐN CHỦ SỞ HỮU > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,,137.797,45.939,,137797.0,45939.0
Lợi nhuận chưa phân phối,VỐN CHỦ SỞ HỮU > Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,,40.718.224,25.559.753,,40718224.0,25559753.0
Lợi ích của cổ đông không kiểm soát,VỐN CHỦ SỞ HỮU > Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,,4.910.880,3.973.110,,4910880.0,3973110.0
TỔNG VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG VỐN CHỦ SỞ HỮU,TỔNG VỐN CHỦ SỞ HỮU,27,117.059.581,96.711.159,27.0,117059581.0,96711159.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,1.128.801.062,944.953.640,,1128801062.0,944953640.0
