row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúctriệu đồng",Quyền sử dụng đấtcó thời hạntriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúctriệu đồng",numeric__Quyền sử dụng đấtcó thời hạntriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm và cuối năm,Nguyên giá > Số dư đầu năm và cuối năm,Số dư đầu năm và cuối năm,51.835,208.580,260.415,51835.0,208580.0,260415.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,5.854,14.267,20.121,5854.0,14267.0,20121.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,1.069,5.110,6.179,1069.0,5110.0,6179.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,6.923,19.377,26.300,6923.0,19377.0,26300.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,45.981,194.313,240.294,45981.0,194313.0,240294.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,44.912,189.203,234.115,44912.0,189203.0,234115.0
