row_label_raw,row_label_full,Khoản mục biển động lớn,Giá trị triệu đồng,numeric__Giá trị triệu đồng
Tăng thu nhập lãi thuần,Tăng thu nhập lãi thuần,Tăng thu nhập lãi thuần,2.468.371,2468371.0
Tăng lãi thuần từ hoạt động dịch vụ,Tăng lãi thuần từ hoạt động dịch vụ,Tăng lãi thuần từ hoạt động dịch vụ,283.024,283024.0
Tăng lãi thuần từ hoạt động kinh doanh ngoại hối,Tăng lãi thuần từ hoạt động kinh doanh ngoại hối,Tăng lãi thuần từ hoạt động kinh doanh ngoại hối,790.339,790339.0
Tăng lãi thuần từ mua bán chứng khoán kinh doanh,Tăng lãi thuần từ mua bán chứng khoán kinh doanh,Tăng lãi thuần từ mua bán chứng khoán kinh doanh,1.214.456,1214456.0
Tăng lãi thuần từ mua bán chứng khoàn đầu tư,Tăng lãi thuần từ mua bán chứng khoàn đầu tư,Tăng lãi thuần từ mua bán chứng khoàn đầu tư,2.502.701,2502701.0
Tăng lãi thuần từ hoạt động khác,Tăng lãi thuần từ hoạt động khác,Tăng lãi thuần từ hoạt động khác,852.709,852709.0
"Giảm thu nhập từ góp vốn, mua cổ phần","Giảm thu nhập từ góp vốn, mua cổ phần","Giảm thu nhập từ góp vốn, mua cổ phần",(4.440),-4440.0
Tăng chi phí hoạt động,Tăng chi phí hoạt động,Tăng chi phí hoạt động,(2.094.309),-2094309.0
Tăng chi phí dự phòng rủi ro tín dụng,Tăng chi phí dự phòng rủi ro tín dụng,Tăng chi phí dự phòng rủi ro tín dụng,(3.489.612),-3489612.0
Tăng chi phí thuế thu nhập doanh nghiệp,Tăng chi phí thuế thu nhập doanh nghiệp,Tăng chi phí thuế thu nhập doanh nghiệp,(625.767),-625767.0
,,,1.897.472,1897472.0
