row_label_raw,row_label_full,Các khoản thuế phải nộp Nhà nước(Thuyết minh 26),31/12/2024triệu đồng > 3.574.209,31/12/2023triệu đồng > 3.539.461,numeric__31/12/2024triệu đồng > 3.574.209,numeric__31/12/2023triệu đồng > 3.539.461
Chuyển tiền phải trả,Chuyển tiền phải trả,Chuyển tiền phải trả,552.701,849.235,552701.0,849235.0
Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,2.011.525,1.756.710,2011525.0,1756710.0
Dự phòng nghiệp vụ bảo hiểm,Dự phòng nghiệp vụ bảo hiểm,Dự phòng nghiệp vụ bảo hiểm,15.767.153,12.693.761,15767153.0,12693761.0
Phải trả về dịch vụ thanh toán,Phải trả về dịch vụ thanh toán,Phải trả về dịch vụ thanh toán,7.268.673,12.619.012,7268673.0,12619012.0
Phải trả liên quan đến dịch vụ liên kết,Phải trả liên quan đến dịch vụ liên kết,Phải trả liên quan đến dịch vụ liên kết,316.900,454.278,316900.0,454278.0
Phải trả và ứng trước người bán,Phải trả và ứng trước người bán,Phải trả và ứng trước người bán,384.550,370.715,384550.0,370715.0
Các khoản chờ thanh toàn khác,Các khoản chờ thanh toàn khác,Các khoản chờ thanh toàn khác,3.661.012,2.421.460,3661012.0,2421460.0
,,,33.536.723,34.704.632,33536723.0,34704632.0
