row_label_raw,row_label_full,col_0,Tài chính ngân hàng triệu đồng,Chứng khoán – Quản lý quỹ triệu đồng,Bảo hiểm triệu đồng,Khai thác nợ - Quản lý tài sản triệu đồng,Loại trừ triệu đồng,Tổng cộng triệu đồng,numeric__Tài chính ngân hàng triệu đồng,numeric__Chứng khoán – Quản lý quỹ triệu đồng,numeric__Bảo hiểm triệu đồng,numeric__Khai thác nợ - Quản lý tài sản triệu đồng,numeric__Loại trừ triệu đồng,numeric__Tổng cộng triệu đồng
I. Thu nhập,I. Thu nhập,I. Thu nhập,176.660.057,3.235.224,9.718.743,1.582.097,(90.073.119),101.123.002,176660057.0,3235224.0,9718743.0,1582097.0,-90073119.0,101123002.0
1. Thu nhập lãi và các khoản thu nhập tương tự,1. Thu nhập lãi và các khoản thu nhập tương tự,1. Thu nhập lãi và các khoản thu nhập tương tự,140.949.237,1.426.885,916.612,18.904,(74.249.745),69.061.893,140949237.0,1426885.0,916612.0,18904.0,-74249745.0,69061893.0
2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,6.152.383,730.559,8.553.003,1.539.906,(2.373.249),14.602.602,6152383.0,730559.0,8553003.0,1539906.0,-2373249.0,14602602.0
3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,3. Thu nhập từ hoạt động kinh doanh khác,29.558.437,1.077.780,249.128,23.287,(13.450.125),17.458.507,29558437.0,1077780.0,249128.0,23287.0,-13450125.0,17458507.0
II. Chỉ phí,II. Chỉ phí,II. Chỉ phí,(131.864.413),(2.233.199),(9.324.409),(933.426),81.638.417,(62.717.030),-131864413.0,-2233199.0,-9324409.0,-933426.0,81638417.0,-62717030.0
1. Chỉ phí lãi và các khoản chi phí tương tự,1. Chỉ phí lãi và các khoản chi phí tương tự,1. Chỉ phí lãi và các khoản chi phí tương tự,(102.156.275),(528.174),(1.629),-,74.776.404,(27.909.674),-102156275.0,-528174.0,-1629.0,,74776404.0,-27909674.0
2. Chỉ phí khấu hao TSCĐ,2. Chỉ phí khấu hao TSCĐ,2. Chỉ phí khấu hao TSCĐ,(1.353.339),(64.195),(186.279),(20.176),-,(1.623.989),-1353339.0,-64195.0,-186279.0,-20176.0,,-1623989.0
3. Chỉ phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chỉ phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chỉ phí liên quan trực tiếp đến hoạt động kinh doanh,(28.354.799),(1.640.830),(9.136.501),(913.250),6.862.013,(33.183.367),-28354799.0,-1640830.0,-9136501.0,-913250.0,6862013.0,-33183367.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,44.795.644,1.002.025,394.334,648.671,(8.434.702),38.405.972,44795644.0,1002025.0,394334.0,648671.0,-8434702.0,38405972.0
Chỉ phí dự phòng rủi ro tín dụng,Chỉ phí dự phòng rủi ro tín dụng,Chỉ phí dự phòng rủi ro tín dụng,(18.034.718),-,23.598,(226),8.434.702,(9.576.644),-18034718.0,,23598.0,-226.0,8434702.0,-9576644.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,26.760.926,1.002.025,417.932,648.445,-,28.829.328,26760926.0,1002025.0,417932.0,648445.0,,28829328.0
