row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcriệu đồng",Quyền sử dụng đấtcó thời hạntriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúcriệu đồng",numeric__Quyền sử dụng đấtcó thời hạntriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,50.835,199.320,250.155,50835.0,199320.0,250155.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.000,9.260,10.260,1000.0,9260.0,10260.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,51.835,208.580,260.415,51835.0,208580.0,260415.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,4.821,9.157,13.978,4821.0,9157.0,13978.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,1.033,5.110,6.143,1033.0,5110.0,6143.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,5.854,14.267,20.121,5854.0,14267.0,20121.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,46.014,190.163,236.177,46014.0,190163.0,236177.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,45.981,194.313,240.294,45981.0,194313.0,240294.0
