row_label_raw,row_label_full,Số dư đầu năm > Trích lập/(hoàn nhập) trong năm,Năm 2024triệu đồng > 174.926 > 18.498,Năm 2023triệu đồng > 231.500 > (56.715),numeric__Năm 2024triệu đồng > 174.926 > 18.498,numeric__Năm 2023triệu đồng > 231.500 > (56.715)
Điều chỉnh khác,Điều chỉnh khác,Điều chỉnh khác,-,141,,141.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,193.424,174.926,193424.0,174926.0
