row_label_raw,row_label_full,col_0,2024%/năm,2023%/năm,numeric__2024%/năm,numeric__2023%/năm
Cho vay bằng VND,Cho vay bằng VND,Cho vay bằng VND,"3,50 – 13,00","3,00 – 12,50",,
Cho vay bằng ngoại tệ,Cho vay bằng ngoại tệ,Cho vay bằng ngoại tệ,"3,50 – 8,00","3,50 – 8,00",,
Cho vay tiêu dùng cá nhân,Cho vay tiêu dùng cá nhân,Cho vay tiêu dùng cá nhân,"4,85 – 76,00","4,58 – 76,00",,
