row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcriệu đồng","Máy móc,thiết bịtriệu đồng",Phương tiệnvận tải và thiết bịtruyền đãntriệu đồng,Tài sản cố địnhhữu hình kháctriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúcriệu đồng","numeric__Máy móc,thiết bịtriệu đồng",numeric__Phương tiệnvận tải và thiết bịtruyền đãntriệu đồng,numeric__Tài sản cố địnhhữu hình kháctriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.481.162,2.989.623,1.158.689,481.088,7.110.562,2481162.0,2989623.0,1158689.0,481088.0,7110562.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,104.117,340.926,168.388,82.011,695.442,104117.0,340926.0,168388.0,82011.0,695442.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,-,(49.127),(21.254),(2.756),(73.137),,-49127.0,-21254.0,-2756.0,-73137.0
Tăng khác trong năm,Nguyên giá > Tăng khác trong năm,Tăng khác trong năm,-,229,-,-,229,,229.0,,,229.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,225,(466),(251),4,(488),225.0,-466.0,-251.0,4.0,-488.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.585.504,3.281.185,1.305.572,560.347,7.732.608,2585504.0,3281185.0,1305572.0,560347.0,7732608.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,523.559,1.940.228,916.406,272.808,3.653.001,523559.0,1940228.0,916406.0,272808.0,3653001.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,107.229,513.342,173.109,86.308,879.988,107229.0,513342.0,173109.0,86308.0,879988.0
Giảm trong năm,Giá trị hao mòn luỹ kế > Giảm trong năm,Giảm trong năm,-,(38.722),(21.071),(2.058),(61.851),,-38722.0,-21071.0,-2058.0,-61851.0
Tăng khác trong năm,Giá trị hao mòn luỹ kế > Tăng khác trong năm,Tăng khác trong năm,-,35.443,5.977,25.771,67.191,,35443.0,5977.0,25771.0,67191.0
Chênh lệch tỷ giá,Giá trị hao mòn luỹ kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,227,(233),(109),(10),(125),227.0,-233.0,-109.0,-10.0,-125.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,631.015,2.450.058,1.074.312,382.819,4.538.204,631015.0,2450058.0,1074312.0,382819.0,4538204.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.957.603,1.049.395,242.283,208.280,3.457.561,1957603.0,1049395.0,242283.0,208280.0,3457561.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.954.489,831.127,231.260,177.528,3.194.404,1954489.0,831127.0,231260.0,177528.0,3194404.0
