row_label_raw,row_label_full,col_0,Giá trị giao dịch,Giá trị giao dịch_1,numeric__Giá trị giao dịch,numeric__Giá trị giao dịch_1
,,,2025VND,2024VND,,
Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,Công ty mẹ cấp cao nhất,,
Công ty Cổ phần Tập đoàn Masan,Công ty Cổ phần Tập đoàn Masan,Công ty Cổ phần Tập đoàn Masan,Công ty Cổ phần Tập đoàn Masan,Công ty Cổ phần Tập đoàn Masan,,
Chia sẻ chi phí (*),Công ty Cổ phần Tập đoàn Masan > Chia sẻ chi phí (*),Chia sẻ chi phí (*),2.944.353.897,1.496.843.597,2944353897.0,1496843597.0
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,
Công ty Cổ phần Việt Nam Kỹ nghệ Súc sản,Công ty Cổ phần Việt Nam Kỹ nghệ Súc sản,Công ty Cổ phần Việt Nam Kỹ nghệ Súc sản,Công ty Cổ phần Việt Nam Kỹ nghệ Súc sản,Công ty Cổ phần Việt Nam Kỹ nghệ Súc sản,,
Thu nhập cổ tức,Công ty Cổ phần Việt Nam Kỹ nghệ Súc sản > Thu nhập cổ tức,Thu nhập cổ tức,10.090.013.000,12.108.015.600,10090013000.0,12108015600.0
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,
Công ty TNHH MEATDeli HN,Công ty TNHH MEATDeli HN,Công ty TNHH MEATDeli HN,Công ty TNHH MEATDeli HN,Công ty TNHH MEATDeli HN,,
Góp vốn,Công ty TNHH MEATDeli HN > Góp vốn,Góp vốn,380.000.000.000,350.000.000.000,380000000000.0,350000000000.0
Cung cấp dịch vụ,Công ty TNHH MEATDeli HN > Cung cấp dịch vụ,Cung cấp dịch vụ,52.785.093.738,45.083.631.183,52785093738.0,45083631183.0
Mua hàng hóa,Công ty TNHH MEATDeli HN > Mua hàng hóa,Mua hàng hóa,-,59.784.000,,59784000.0
Công ty Cổ phần Masan JinJu,Công ty Cổ phần Masan JinJu,Công ty Cổ phần Masan JinJu,Công ty Cổ phần Masan JinJu,Công ty Cổ phần Masan JinJu,,
Vay,Công ty Cổ phần Masan JinJu > Vay,Vay,-,60.000.000.000,,60000000000.0
Trả nợ gốc vay,Công ty Cổ phần Masan JinJu > Trả nợ gốc vay,Trả nợ gốc vay,-,60.000.000.000,,60000000000.0
Chi phí lãi vay,Công ty Cổ phần Masan JinJu > Chi phí lãi vay,Chi phí lãi vay,-,1.643.836,,1643836.0
Cung cấp dịch vụ,Công ty Cổ phần Masan JinJu > Cung cấp dịch vụ,Cung cấp dịch vụ,24.131.311.159,20.587.372.191,24131311159.0,20587372191.0
Mua hàng hóa,Công ty Cổ phần Masan JinJu > Mua hàng hóa,Mua hàng hóa,-,71.064.815,,71064815.0
Công ty TNHH MML Farm Nghệ An,Công ty TNHH MML Farm Nghệ An,Công ty TNHH MML Farm Nghệ An,Công ty TNHH MML Farm Nghệ An,Công ty TNHH MML Farm Nghệ An,,
Lợi nhuận được chia,Công ty TNHH MML Farm Nghệ An > Lợi nhuận được chia,Lợi nhuận được chia,380.000.000.000,350.000.000.000,380000000000.0,350000000000.0
Cung cấp dịch vụ,Công ty TNHH MML Farm Nghệ An > Cung cấp dịch vụ,Cung cấp dịch vụ,15.078.401.570,13.734.694.631,15078401570.0,13734694631.0
Công ty Cổ phần 3F VIỆT,Công ty Cổ phần 3F VIỆT,Công ty Cổ phần 3F VIỆT,Công ty Cổ phần 3F VIỆT,Công ty Cổ phần 3F VIỆT,,
Cho vay,Công ty Cổ phần 3F VIỆT > Cho vay,Cho vay,70.000.000.000,60.000.000.000,70000000000.0,60000000000.0
Thu hồi khoản cho vay,Công ty Cổ phần 3F VIỆT > Thu hồi khoản cho vay,Thu hồi khoản cho vay,70.000.000.000,69.000.000.000,70000000000.0,69000000000.0
Thu nhập lãi cho vay,Công ty Cổ phần 3F VIỆT > Thu nhập lãi cho vay,Thu nhập lãi cho vay,4.777.643.835,5.638.684.931,4777643835.0,5638684931.0
Cung cấp dịch vụ,Công ty Cổ phần 3F VIỆT > Cung cấp dịch vụ,Cung cấp dịch vụ,11.106.613.519,10.657.008.193,11106613519.0,10657008193.0
Công ty TNHH MEATDeli Sài Gòn,Công ty TNHH MEATDeli Sài Gòn,Công ty TNHH MEATDeli Sài Gòn,Công ty TNHH MEATDeli Sài Gòn,Công ty TNHH MEATDeli Sài Gòn,,
Cho vay,Công ty TNHH MEATDeli Sài Gòn > Cho vay,Cho vay,275.000.000.000,150.000.000.000,275000000000.0,150000000000.0
Thu hồi khoản cho vay,Công ty TNHH MEATDeli Sài Gòn > Thu hồi khoản cho vay,Thu hồi khoản cho vay,245.500.000.000,177.416.497.299,245500000000.0,177416497299.0
Thu nhập lãi cho vay,Công ty TNHH MEATDeli Sài Gòn > Thu nhập lãi cho vay,Thu nhập lãi cho vay,11.097.301.373,15.123.924.194,11097301373.0,15123924194.0
Cung cấp dịch vụ,Công ty TNHH MEATDeli Sài Gòn > Cung cấp dịch vụ,Cung cấp dịch vụ,27.558.241.847,24.469.626.340,27558241847.0,24469626340.0
Mua hàng hóa,Công ty TNHH MEATDeli Sài Gòn > Mua hàng hóa,Mua hàng hóa,-,51.938.160,,51938160.0
