row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Vốn góp theo các hợp đồng hợp tác kinh doanh (""HĐHTKD"") (*)","Ngắn hạn > Vốn góp theo các hợp đồng hợp tác kinh doanh (""HĐHTKD"") (*)","Vốn góp theo các hợp đồng hợp tác kinh doanh (""HĐHTKD"") (*)",782.535.829.600,225.607.904.754,782535829600.0,225607904754.0
- Công ty Cổ phần Bất động sản LinkGroup,Ngắn hạn > - Công ty Cổ phần Bất động sản LinkGroup,- Công ty Cổ phần Bất động sản LinkGroup,579.360.000.000,-,579360000000.0,
- Đơn vị khác,Ngắn hạn > - Đơn vị khác,- Đơn vị khác,203.175.829.600,225.607.904.754,203175829600.0,225607904754.0
Phải thu tiền sử dụng đất nhà ở xã hội dự án Khu dân cư Gold Hill,Ngắn hạn > Phải thu tiền sử dụng đất nhà ở xã hội dự án Khu dân cư Gold Hill,Phải thu tiền sử dụng đất nhà ở xã hội dự án Khu dân cư Gold Hill,15.000.000.000,15.000.000.000,15000000000.0,15000000000.0
Cổ tức,Ngắn hạn > Cổ tức,Cổ tức,10.863.000.000,6.987.000.000,10863000000.0,6987000000.0
Lãi cho vay,Ngắn hạn > Lãi cho vay,Lãi cho vay,3.801.809.146,-,3801809146.0,
Tạm ứng cho nhân viên,Ngắn hạn > Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,2.020.203.652,501.899.867,2020203652.0,501899867.0
Ứng tiền góp vốn,Ngắn hạn > Ứng tiền góp vốn,Ứng tiền góp vốn,-,106.590.000.000,,106590000000.0
Khác,Ngắn hạn > Khác,Khác,4.239.602.040,4.713.692.946,4239602040.0,4713692946.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,818.460.444.438,359.400.497.567,818460444438.0,359400497567.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu bên liên quan (Thuyết minh số 21),Trong đó: > Phải thu bên liên quan (Thuyết minh số 21),Phải thu bên liên quan (Thuyết minh số 21),216.860.410.996,343.112.746.450,216860410996.0,343112746450.0
Phải thu bên khác,Trong đó: > Phải thu bên khác,Phải thu bên khác,601.600.033.442,16.287.751.117,601600033442.0,16287751117.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Vốn góp theo các HĐHTKD (*),Dài hạn > Vốn góp theo các HĐHTKD (*),Vốn góp theo các HĐHTKD (*),376.932.859.350,191.911.150.246,376932859350.0,191911150246.0
"Ký quỹ, ký cược","Dài hạn > Ký quỹ, ký cược","Ký quỹ, ký cược",621.000.000,237.000.000,621000000.0,237000000.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,377.553.859.350,192.148.150.246,377553859350.0,192148150246.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu bên liên quan (Thuyết minh số 21),Trong đó: > Phải thu bên liên quan (Thuyết minh số 21),Phải thu bên liên quan (Thuyết minh số 21),376.932.859.350,191.911.150.246,376932859350.0,191911150246.0
Phải thu bên khác,Trong đó: > Phải thu bên khác,Phải thu bên khác,621.000.000,237.000.000,621000000.0,237000000.0
