row_label_raw,row_label_full,Cổ tức được chia (Thuyết minh số 21),Năm nay > 246.520.000.000,VNDNăm trước > 308.320.000.000,numeric__Năm nay > 246.520.000.000,numeric__VNDNăm trước > 308.320.000.000
Lãi từ thanh lý khoản đầu tư,Lãi từ thanh lý khoản đầu tư,Lãi từ thanh lý khoản đầu tư,106.452.490.000,-,106452490000.0,
Lãi tiền gửi,Lãi tiền gửi,Lãi tiền gửi,6.677.094.825,6.473.087,6677094825.0,6473087.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,359.649.584.825,308.326.473.087,359649584825.0,308326473087.0
