row_label_raw,row_label_full,DXG,Công ty mẹ,Góp vốn theo HĐHTKD,376.932.859.350,191.911.150.246,numeric__Công ty mẹ,numeric__Góp vốn theo HĐHTKD,numeric__376.932.859.350,numeric__191.911.150.246
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Đất Xanh Đông Nam Bộ,Phải trả người bán ngắn hạn > Đất Xanh Đông Nam Bộ,Đất Xanh Đông Nam Bộ,Công ty con,Phí dịch vụ môi giới,459.123.893,459.123.893,,,459123893.0,459123893.0
DXG,Phải trả người bán ngắn hạn > DXG,DXG,Công ty mẹ,Phí dịch vụ môi giới,-,61.171.023,,,,61171023.0
,,,,,459.123.893,520.294.916,,,459123893.0,520294916.0
