row_label_raw,row_label_full,col_0,Lĩnh vực kinh doanh,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
,,,Lĩnh vực kinh doanh,Tỷ lệ biểu quyết(%),Giá gốc đầu tưVND,Tỷ lệ biểu quyết(%),Giá gốc đầu tưVND,,,,,
"Công ty Cổ phần Đầu tư LDG (""LDG"")","Công ty Cổ phần Đầu tư LDG (""LDG"")","Công ty Cổ phần Đầu tư LDG (""LDG"")",Kinh doanh Bất động sản,-,-,"6,00",68.472.200.000,,,,6.0,68472200000.0
