row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2025,Quá hạn > Trên3 tháng,Quá hạn > Đến3 tháng,Trong hạn > Đến 1 tháng,Trong hạn > Từ1 - 3 tháng,Trong hạn > Từ3 - 12 tháng,Trong hạn > Từ1 - 5 năm,Trong hạn > Trên 5 năm,Đơn vị: Triệu đồng > Tổng cộng,numeric__Quá hạn > Trên3 tháng,numeric__Quá hạn > Đến3 tháng,numeric__Trong hạn > Đến 1 tháng,numeric__Trong hạn > Từ1 - 3 tháng,numeric__Trong hạn > Từ3 - 12 tháng,numeric__Trong hạn > Từ1 - 5 năm,numeric__Trong hạn > Trên 5 năm,numeric__Đơn vị: Triệu đồng > Tổng cộng
Tải sản,Tải sản,Tải sản,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tải sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,1.040.577,-,-,-,-,1.040.577,,,1040577.0,,,,,1040577.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,24.472.475,-,-,-,-,24.472.475,,,24472475.0,,,,,24472475.0
Tiền gửi và cho vay các TCTD khác,Tải sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,75.556.531,15.890.430,-,-,-,91.446.961,,,75556531.0,15890430.0,,,,91446961.0
Chứng khoán kinh doanh (*),Tải sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,11.457.635,-,-,-,-,11.457.635,,,11457635.0,,,,,11457635.0
Cho vay khách hàng (*),Tải sản > Cho vay khách hàng (*),Cho vay khách hàng (*),4.874.070,1.612.602,12.292.894,20.209.669,96.027.888,71.070.114,30.959.863,237.047.100,4874070.0,1612602.0,12292894.0,20209669.0,96027888.0,71070114.0,30959863.0,237047100.0
Chứng khoán đầu tư (*),Tải sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),19.364,-,-,-,2.057.990,7.941.865,15.505.572,25.524.791,19364.0,,,,2057990.0,7941865.0,15505572.0,25524791.0
"Góp vốn, đầu tư dài hạn (*)","Tải sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,1.059.070,1.059.070,,,,,,,1059070.0,1059070.0
Tài sản cố định,Tải sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,1.489.344,1.489.344,,,,,,,1489344.0,1489344.0
Tài sản Có khác (*),Tải sản > Tài sản Có khác (*),Tài sản Có khác (*),26.926,-,1.211.387,906.487,3.065.924,1.319.685,394.843,6.925.252,26926.0,,1211387.0,906487.0,3065924.0,1319685.0,394843.0,6925252.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,4.920.360,1.612.602,126.031.499,37.006.586,101.151.802,80.331.664,49.408.692,400.463.205,4920360.0,1612602.0,126031499.0,37006586.0,101151802.0,80331664.0,49408692.0,400463205.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,9.416.092,9.369.012,2.034.276,-,-,20.819.380,,,9416092.0,9369012.0,2034276.0,,,20819380.0
Tiền gửi của và vay các TCTD khác,Nợ phải trả > Tiền gửi của và vay các TCTD khác,Tiền gửi của và vay các TCTD khác,-,-,71.170.576,18.558.008,4.157.918,13.394.504,-,107.281.006,,,71170576.0,18558008.0,4157918.0,13394504.0,,107281006.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,33.391.673,39.922.616,111.247.238,8.053.264,774,192.615.565,,,33391673.0,39922616.0,111247238.0,8053264.0,774.0,192615565.0
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,(92.066),(76.813),429.277,-,-,260.398,,,-92066.0,-76813.0,429277.0,,,260398.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,25.300.000,4.684.050,-,29.984.050,,,,,25300000.0,4684050.0,,29984050.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,900.896,1.752.084,2.798.862,449.361,-,5.901.203,,,900896.0,1752084.0,2798862.0,449361.0,,5901203.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,114.787.171,69.524.907,145.967.571,26.581.179,774,356.861.602,,,114787171.0,69524907.0,145967571.0,26581179.0,774.0,356861602.0
Mức chênh lệch thanh khoản ròng,Nợ phải trả > Mức chênh lệch thanh khoản ròng,Mức chênh lệch thanh khoản ròng,4.920.360,1.612.602,11.244.328,(32.518.321),(44.815.769),53.750.485,49.407.918,43.601.603,4920360.0,1612602.0,11244328.0,-32518321.0,-44815769.0,53750485.0,49407918.0,43601603.0
