row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2025,Quá hạn,Không chịu lãi,Dưới 1 tháng,Từ 1 - 3 tháng,Từ 3 - 6 tháng,Từ 6 - 12 tháng,Từ 1 - 5 năm,Đơn vị: Triệu đồngTrên5 năm,Tổng cộng,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Dưới 1 tháng,numeric__Từ 1 - 3 tháng,numeric__Từ 3 - 6 tháng,numeric__Từ 6 - 12 tháng,numeric__Từ 1 - 5 năm,numeric__Đơn vị: Triệu đồngTrên5 năm,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bac, đá quý","Tài sản > Tiền mặt, vàng bac, đá quý","Tiền mặt, vàng bac, đá quý",-,1.040.577,-,-,-,-,-,-,1.040.577,,1040577.0,,,,,,,1040577.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,24.472.475,-,-,-,-,-,-,24.472.475,,24472475.0,,,,,,,24472475.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,75.556.531,15.890.430,-,-,-,-,91.446.961,,,75556531.0,15890430.0,,,,,91446961.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,11.457.635,-,-,-,-,-,11.457.635,,,11457635.0,,,,,,11457635.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),6.486.672,1.971.176,102.124.293,37.507.256,58.462.417,27.927.945,2.567.341,-,237.047.100,6486672.0,1971176.0,102124293.0,37507256.0,58462417.0,27927945.0,2567341.0,,237047100.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),19.364,-,100.440,1.053.536,5.023.563,3.435.553,386.763,15.505.572,25.524.791,19364.0,,100440.0,1053536.0,5023563.0,3435553.0,386763.0,15505572.0,25524791.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,1.059.070,-,-,-,-,-,-,1.059.070,,1059070.0,,,,,,,1059070.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,1.489.344,-,-,-,-,-,-,1.489.344,,1489344.0,,,,,,,1489344.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),26.926,6.898.326,-,-,-,-,-,-,6.925.252,26926.0,6898326.0,,,,,,,6925252.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,6.532.962,36.930.968,189.238.899,54.451.222,63.485.980,31.363.498,2.954.104,15.505.572,400.463.205,6532962.0,36930968.0,189238899.0,54451222.0,63485980.0,31363498.0,2954104.0,15505572.0,400463205.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,1.971.176,9.416.092,9.369.012,46.022,17.078,-,-,20.819.380,,1971176.0,9416092.0,9369012.0,46022.0,17078.0,,,20819380.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,79.581.950,18.689.143,7.664.681,1.345.232,-,-,107.281.006,,,79581950.0,18689143.0,7664681.0,1345232.0,,,107281006.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,33.391.674,39.922.616,61.762.268,49.484.970,8.053.263,774,192.615.565,,,33391674.0,39922616.0,61762268.0,49484970.0,8053263.0,774.0,192615565.0
Công cu tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Công cu tài chính phải sinh và các khoản nợ tài chính khác,Công cu tài chính phải sinh và các khoản nợ tài chính khác,-,79.760,-,-,-,180.638,-,-,260.398,,79760.0,,,,180638.0,,,260398.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,6.434.050,22.800.000,750.000,-,29.984.050,,,,,6434050.0,22800000.0,750000.0,,29984050.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,5.901.203,-,-,-,-,-,-,5.901.203,,5901203.0,,,,,,,5901203.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,7.952.139,122.389.716,67.980.771,75.907.021,73.827.918,8.803.263,774,356.861.602,,7952139.0,122389716.0,67980771.0,75907021.0,73827918.0,8803263.0,774.0,356861602.0
Mức chênh lệch nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh lệch nhạy cảm với lãi suất nội bảng,Mức chênh lệch nhạy cảm với lãi suất nội bảng,6.532.962,28.978.829,66.849.183,(13.529.549),(12.421.041),(42.464.420),(5.849.159),15.504.798,43.601.603,6532962.0,28978829.0,66849183.0,-13529549.0,-12421041.0,-42464420.0,-5849159.0,15504798.0,43601603.0
