row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày > 31.12.2025Triệu đồng,Tại ngày > 31.12.2024Triệu đồng,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày > 31.12.2025Triệu đồng,numeric__Tại ngày > 31.12.2024Triệu đồng
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",3,1.040.577,963.692,,3.0,1040577.0,963692.0
II,A > II,II,"Tiền gửi tại Ngân hàng Nhà nước Việt Nam (""NHNN"")",4,24.472.475,11.299.610,,4.0,24472475.0,11299610.0
III,A > III,III,"Tiền gửi và cho vay các tổ chức tín dụng (""TCTD"") khác",,91.446.961,73.373.963,,,91446961.0,73373963.0
1,A > 1,1,Tiền gửi tại các TCTD khác,5.1,91.266.961,71.049.703,,51.0,91266961.0,71049703.0
2,A > 2,2,Cho vay các TCTD khác,5.2,180.000,2.324.260,,52.0,180000.0,2324260.0
IV,A > IV,IV,Chứng khoán kinh doanh,,11.444.995,8.866.716,,,11444995.0,8866716.0
1,A > 1,1,Chứng khoán kinh doanh,6.1,11.457.635,8.868.966,,61.0,11457635.0,8868966.0
2,A > 2,2,Dự phòng rủi ro chứng khoán kinh doanh,6.5,(12.640),(2.250),,65.0,-12640.0,-2250.0
VI,A > VI,VI,Cho vay khách hàng,7,233.780.410,202.251.998,,7.0,233780410.0,202251998.0
1,A > 1,1,Cho vay khách hàng,,237.047.100,205.029.369,,,237047100.0,205029369.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,,(3.266.690),(2.777.371),,,-3266690.0,-2777371.0
VII,A > VII,VII,Chứng khoán đầu tư,,25.442.298,19.473.840,,,25442298.0,19473840.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,8.1,25.505.427,17.473.840,,81.0,25505427.0,17473840.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,8.2,19.364,2.319.364,,82.0,19364.0,2319364.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,8.6,(82.493),(319.364),,86.0,-82493.0,-319364.0
VIII,A > VIII,VIII,"Góp vốn, đầu tư dài hạn",9,1.059.070,2.818.707,,9.0,1059070.0,2818707.0
1,A > 1,1,Đầu tư vào công ty con,,1.000.000,2.760.000,,,1000000.0,2760000.0
4,A > 4,4,Đầu tư dài hạn khác,,59.070,59.070,,,59070.0,59070.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,,-,(363),,,,-363.0
IX,A > IX,IX,Tài sản cố định,,1.489.344,1.364.327,,,1489344.0,1364327.0
1,A > 1,1,Tài sản cố định hữu hình,10.1,512.464,487.195,,101.0,512464.0,487195.0
a,A > a,a,Nguyên giá,,1.193.765,1.087.471,,,1193765.0,1087471.0
b,A > b,b,Giá trị khấu hao lũy kế,,(681.301),(600.276),,,-681301.0,-600276.0
3,A > 3,3,Tài sản cố định vô hình,10.2,976.880,877.132,,102.0,976880.0,877132.0
a,A > a,a,Nguyên giá,,1.337.853,1.157.909,,,1337853.0,1157909.0
b,A > b,b,Giá trị khấu hao lũy kế,,(360.973),(280.777),,,-360973.0,-280777.0
XI,A > XI,XI,Tài sản Có khác,,6.898.326,6.324.893,,,6898326.0,6324893.0
1,A > 1,1,Các khoản phải thu,11.1,1.468.533,1.865.788,,111.0,1468533.0,1865788.0
2,A > 2,2,"Các khoản lãi, phí phải thu",11.2,3.091.938,2.531.737,,112.0,3091938.0,2531737.0
4,A > 4,4,Tài sản Có khác,11.3,2.364.781,1.954.317,,113.0,2364781.0,1954317.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,11.5,(26.926),(26.949),,115.0,-26926.0,-26949.0
,,,TỔNG TÀI SẢN CÓ,,397.074.456,326.737.746,,,397074456.0,326737746.0
