row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,31.12.2025Triệu đồng,31.12.2024Triệu đồng,,
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,
Thu từ nợ đã xử lý rủi ro,Thu nhập từ hoạt động khác > Thu từ nợ đã xử lý rủi ro,Thu từ nợ đã xử lý rủi ro,136.089,578.442,136089.0,578442.0
Thu từ nghiệp vụ phải sinh khác,Thu nhập từ hoạt động khác > Thu từ nghiệp vụ phải sinh khác,Thu từ nghiệp vụ phải sinh khác,118.100,164.141,118100.0,164141.0
Thu nhập khác,Thu nhập từ hoạt động khác > Thu nhập khác,Thu nhập khác,98.281,43.312,98281.0,43312.0
,,,352.470,785.895,352470.0,785895.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,
Chi phí nghiệp vụ phải sinh khác,Chi phí hoạt động khác > Chi phí nghiệp vụ phải sinh khác,Chi phí nghiệp vụ phải sinh khác,(139.594),(172.560),-139594.0,-172560.0
Chi phí khác,Chi phí hoạt động khác > Chi phí khác,Chi phí khác,(70.184),(17.008),-70184.0,-17008.0
,,,(209.778),(189.568),-209778.0,-189568.0
Lãi thuần từ hoạt động kinh doanh khác,Chi phí hoạt động khác > Lãi thuần từ hoạt động kinh doanh khác,Lãi thuần từ hoạt động kinh doanh khác,142.692,596.327,142692.0,596327.0
