row_label_raw,row_label_full,col_0,Vốn điều lệTriệu đồng,Thăng dưvốn cổ phầnTriệu đồng,Quỹ của TCTD,Quỹ của TCTD_1,Quỹ của TCTD_2,Lợi nhuậnchưa phân phốiTriệu đồng,Tổng cộngTriệu đồng,numeric__Vốn điều lệTriệu đồng,numeric__Thăng dưvốn cổ phầnTriệu đồng,numeric__Quỹ của TCTD,numeric__Quỹ của TCTD_1,numeric__Quỹ của TCTD_2,numeric__Lợi nhuậnchưa phân phốiTriệu đồng,numeric__Tổng cộngTriệu đồng
,,,Vốn điều lệTriệu đồng,Thăng dưvốn cổ phầnTriệu đồng,Quỹdự phòngtài chínhTriệu đồng,Quỹ dự trữbố sungvốn điều lệTriệu đồng,Tổng cộngQuỹ củaTCTDTriệu đồng,Lợi nhuậnchưa phân phốiTriệu đồng,Tổng cộngTriệu đồng,,,,,,,
Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,24.957.000,106.167,1.286.535,380.844,1.667.379,3.608.242,30.338.788,24957000.0,106167.0,1286535.0,380844.0,1667379.0,3608242.0,30338788.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,4.727.510,4.727.510,,,,,,4727510.0,4727510.0
Trả cổ tức bằng cổ phiếu,Trả cổ tức bằng cổ phiếu,Trả cổ tức bằng cổ phiếu,3.290.000,-,-,-,-,(3.290.000),-,3290000.0,,,,,-3290000.0,
Tăng vốn từ nguồn thẳng dưvốn cổ phần,Tăng vốn từ nguồn thẳng dưvốn cổ phần,Tăng vốn từ nguồn thẳng dưvốn cổ phần,103.000,(103.000),-,-,-,-,-,103000.0,-103000.0,,,,,
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,472.751,472.751,945.502,(945.502),-,,,472751.0,472751.0,945502.0,-945502.0,
"Trích quỹ khen thưởng, phúc lợi(Thuyết minh 17.2)","Trích quỹ khen thưởng, phúc lợi(Thuyết minh 17.2)","Trích quỹ khen thưởng, phúc lợi(Thuyết minh 17.2)",-,-,-,-,-,(110.000),(110.000),,,,,,-110000.0,-110000.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,28.350.000,3.167,1.759.286,853.595,2.612.881,3.990.250,34.956.298,28350000.0,3167.0,1759286.0,853595.0,2612881.0,3990250.0,34956298.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,5.396.356,5.396.356,,,,,,5396356.0,5396356.0
Tăng vốn từ phát hành cổ phiếutheo chương trình lựa chọn chongười lao động (i),Tăng vốn từ phát hành cổ phiếutheo chương trình lựa chọn chongười lao động (i),Tăng vốn từ phát hành cổ phiếutheo chương trình lựa chọn chongười lao động (i),100.000,-,-,-,-,-,100.000,100000.0,,,,,,100000.0
Trích quỹ trong năm,Trích quỹ trong năm,Trích quỹ trong năm,-,-,485.672,539.636,1.025.308,(1.025.308),-,,,485672.0,539636.0,1025308.0,-1025308.0,
"Trích quỹ khen thưởng, phúc lợi(Thuyết minh 17.2) (ii)","Trích quỹ khen thưởng, phúc lợi(Thuyết minh 17.2) (ii)","Trích quỹ khen thưởng, phúc lợi(Thuyết minh 17.2) (ii)",-,-,-,-,-,(235.000),(235.000),,,,,,-235000.0,-235000.0
Các khoản giảm khác,Các khoản giảm khác,Các khoản giảm khác,-,-,-,-,-,(4.800),(4.800),,,,,,-4800.0,-4800.0
Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,28.450.000,3.167,2.244.958,1.393.231,3.638.189,8.121.498,40.212.854,28450000.0,3167.0,2244958.0,1393231.0,3638189.0,8121498.0,40212854.0
