row_label_raw,row_label_full,col_0,31.12.2025Triệu đồng,31.12.2024Triệu đồng,numeric__31.12.2025Triệu đồng,numeric__31.12.2024Triệu đồng
Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tỉnh hình tài chính riêng:,Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tỉnh hình tài chính riêng:,Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tỉnh hình tài chính riêng:,Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tỉnh hình tài chính riêng:,Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tỉnh hình tài chính riêng:,,
Tiền gửi và cho vay các TCTD khác,Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tỉnh hình tài chính riêng: > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,91.446.961,73.373.963,91446961.0,73373963.0
Chứng khoán kinh doanh (Thuyết minh 6.4),Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tỉnh hình tài chính riêng: > Chứng khoán kinh doanh (Thuyết minh 6.4),Chứng khoán kinh doanh (Thuyết minh 6.4),3.731.450,4.123.920,3731450.0,4123920.0
Cho vay khách hàng (Thuyết minh 7.3),Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tỉnh hình tài chính riêng: > Cho vay khách hàng (Thuyết minh 7.3),Cho vay khách hàng (Thuyết minh 7.3),237.047.100,205.029.369,237047100.0,205029369.0
Chứng khoán đầu tư (Thuyết minh 8.4),Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tỉnh hình tài chính riêng: > Chứng khoán đầu tư (Thuyết minh 8.4),Chứng khoán đầu tư (Thuyết minh 8.4),9.632.456,6.720.106,9632456.0,6720106.0
Các tài sản tài chính khác,Mức rủi ro tín dụng của các tài khoản thuộc báo cáo tỉnh hình tài chính riêng: > Các tài sản tài chính khác,Các tài sản tài chính khác,4.305.354,4.397.525,4305354.0,4397525.0
,,,346.163.321,293.644.883,346163321.0,293644883.0
Mức rủi ro tín dụng của các khoản mục ngoại bảng:,Mức rủi ro tín dụng của các khoản mục ngoại bảng:,Mức rủi ro tín dụng của các khoản mục ngoại bảng:,Mức rủi ro tín dụng của các khoản mục ngoại bảng:,Mức rủi ro tín dụng của các khoản mục ngoại bảng:,,
Các hợp đồng bảo lãnh tài chính,Mức rủi ro tín dụng của các khoản mục ngoại bảng: > Các hợp đồng bảo lãnh tài chính,Các hợp đồng bảo lãnh tài chính,16.469.846,8.916.602,16469846.0,8916602.0
Các cam kết trong nghiệp vụ L/C,Mức rủi ro tín dụng của các khoản mục ngoại bảng: > Các cam kết trong nghiệp vụ L/C,Các cam kết trong nghiệp vụ L/C,8.067.073,2.343.582,8067073.0,2343582.0
,,,24.536.919,11.260.184,24536919.0,11260184.0
,,,370.700.240,304.905.067,370700240.0,304905067.0
