row_label_raw,row_label_full,col_0,Tại ngày 31.12.2025,Tại ngày 31.12.2025_1,Tại ngày 31.12.2025_2,Tại ngày 31.12.2025_3,Tại ngày 31.12.2025_4,Đơn vị: Triệu đồng,numeric__Tại ngày 31.12.2025,numeric__Tại ngày 31.12.2025_1,numeric__Tại ngày 31.12.2025_2,numeric__Tại ngày 31.12.2025_3,numeric__Tại ngày 31.12.2025_4,numeric__Đơn vị: Triệu đồng
,,,Tiền gửi và cho vay các TCTD khác,Chứng khoán kinh doanh,Cho vay khách hàng,Chứng khoán đầu tư,Các tài sản tài chính khác,Tổng cộng,,,,,,
Chưa quá hạn và chưa bị giảm giá,Chưa quá hạn và chưa bị giảm giá,Chưa quá hạn và chưa bị giảm giá,91.446.961,3.731.450,230.528.257,9.613.092,4.278.428,339.598.188,91446961.0,3731450.0,230528257.0,9613092.0,4278428.0,339598188.0
Đã quá hạn nhưng chưa bị giảm giá,Đã quá hạn nhưng chưa bị giảm giá,Đã quá hạn nhưng chưa bị giảm giá,-,-,473.679,-,-,473.679,,,473679.0,,,473679.0
Bị giảm giá,Bị giảm giá,Bị giảm giá,-,-,6.045.164,19.364,26.926,6.091.454,,,6045164.0,19364.0,26926.0,6091454.0
,,,91.446.961,3.731.450,237.047.100,9.632.456,4.305.354,346.163.321,91446961.0,3731450.0,237047100.0,9632456.0,4305354.0,346163321.0
Trừ dự phòng rủi ro:,Trừ dự phòng rủi ro:,Trừ dự phòng rủi ro:,,,,,,,,,,,,
Dự phòng chung,Trừ dự phòng rủi ro: > Dự phòng chung,Dự phòng chung,-,(12.640),(1.750.156),(63.129),-,(1.825.925),,-12640.0,-1750156.0,-63129.0,,-1825925.0
Dự phòng cụ thể,Trừ dự phòng rủi ro: > Dự phòng cụ thể,Dự phòng cụ thể,-,-,(1.516.534),(19.364),-,(1.535.898),,,-1516534.0,-19364.0,,-1535898.0
Dự phòng rủi ro khác,Trừ dự phòng rủi ro: > Dự phòng rủi ro khác,Dự phòng rủi ro khác,-,-,-,-,(26.926),(26.926),,,,,-26926.0,-26926.0
,,,-,(12.640),(3.266.690),(82.493),(26.926),(3.388.749),,-12640.0,-3266690.0,-82493.0,-26926.0,-3388749.0
Giá trị thuần,Trừ dự phòng rủi ro: > Giá trị thuần,Giá trị thuần,91.446.961,3.718.810,233.780.410,9.549.963,4.278.428,342.774.572,91446961.0,3718810.0,233780410.0,9549963.0,4278428.0,342774572.0
