row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2024,Quá hạn,Không chịu lãi,Dưới 1 tháng,Từ 1 - 3 tháng,Từ 3 - 6 tháng,Từ 6 - 12 tháng,Từ 1 - 5 năm,Đơn vị: Triệu đồngTrên5 năm,Tổng cộng,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Dưới 1 tháng,numeric__Từ 1 - 3 tháng,numeric__Từ 3 - 6 tháng,numeric__Từ 6 - 12 tháng,numeric__Từ 1 - 5 năm,numeric__Đơn vị: Triệu đồngTrên5 năm,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,963.692,-,-,-,-,-,-,963.692,,963692.0,,,,,,,963692.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,11.299.610,-,-,-,-,-,-,11.299.610,,11299610.0,,,,,,,11299610.0
Tiền gửi và cho vay các TCTD khác,Tài sản > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,-,62.501.443,8.872.520,-,2.000.000,-,-,73.373.963,,,62501443.0,8872520.0,,2000000.0,,,73373963.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,8.868.966,-,-,-,-,-,8.868.966,,,8868966.0,,,,,,8868966.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),4.588.393,1.977.205,71.006.871,56.740.402,50.599.337,17.547.683,2.153.198,416.280,205.029.369,4588393.0,1977205.0,71006871.0,56740402.0,50599337.0,17547683.0,2153198.0,416280.0,205029369.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),319.364,-,2.000.000,525.795,300.199,100.000,2.600.969,13.946.877,19.793.204,319364.0,,2000000.0,525795.0,300199.0,100000.0,2600969.0,13946877.0,19793204.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,2.819.070,-,-,-,-,-,-,2.819.070,,2819070.0,,,,,,,2819070.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,1.364.327,-,-,-,-,-,-,1.364.327,,1364327.0,,,,,,,1364327.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),26.949,6.324.893,-,-,-,-,-,-,6.351.842,26949.0,6324893.0,,,,,,,6351842.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,4.934.706,24.748.797,144.377.280,66.138.717,50.899.536,19.647.683,4.754.167,14.363.157,329.864.043,4934706.0,24748797.0,144377280.0,66138717.0,50899536.0,19647683.0,4754167.0,14363157.0,329864043.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,1.977.205,-,2.113,68.086,17.079,-,-,2.064.483,,1977205.0,,2113.0,68086.0,17079.0,,,2064483.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,59.341.891,16.311.838,4.243.725,6.010.414,-,-,85.907.868,,,59341891.0,16311838.0,4243725.0,6010414.0,,,85907868.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,32.377.751,40.974.795,46.926.833,41.220.828,7.345.367,547,168.846.121,,,32377751.0,40974795.0,46926833.0,41220828.0,7345367.0,547.0,168846121.0
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,128.378,314,1.688,-,-,173.194,-,303.574,,128378.0,314.0,1688.0,,,173194.0,,303574.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,500.000,-,94.200,25.906.000,3.950.000,-,30.450.200,,,500000.0,,94200.0,25906000.0,3950000.0,,30450200.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,4.209.202,-,-,-,-,-,-,4.209.202,,4209202.0,,,,,,,4209202.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,6.314.785,92.219.956,57.290.434,51.332.844,73.154.321,11.468.561,547,291.781.448,,6314785.0,92219956.0,57290434.0,51332844.0,73154321.0,11468561.0,547.0,291781448.0
Mức chênh lệch nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh lệch nhạy cảm với lãi suất nội bảng,Mức chênh lệch nhạy cảm với lãi suất nội bảng,4.934.706,18.434.012,52.157.324,8.848.283,(433.308),(53.506.638),(6.714.394),14.362.610,38.082.595,4934706.0,18434012.0,52157324.0,8848283.0,-433308.0,-53506638.0,-6714394.0,14362610.0,38082595.0
