row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng","Máy móc,thiết bịTriệu đồng","Phương tiệnvận tải,truyền đãnTriệu đồng",Thiết bịvăn phòngTriệu đồng,KhácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng","numeric__Máy móc,thiết bịTriệu đồng","numeric__Phương tiệnvận tải,truyền đãnTriệu đồng",numeric__Thiết bịvăn phòngTriệu đồng,numeric__KhácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2025,Nguyên giá > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,18.677,478.850,434.554,116.064,39.326,1.087.471,18677.0,478850.0,434554.0,116064.0,39326.0,1087471.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,77.181,40.059,8.195,266,125.701,,77181.0,40059.0,8195.0,266.0,125701.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.288),(10.085),(1.570),(6.133),(331),(19.407),-1288.0,-10085.0,-1570.0,-6133.0,-331.0,-19407.0
Tại ngày 31 tháng 12 năm 2025,Nguyên giá > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,17.389,545.946,473.043,118.126,39.261,1.193.765,17389.0,545946.0,473043.0,118126.0,39261.0,1193765.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,(7.168),(229.198),(259.677),(88.710),(15.523),(600.276),-7168.0,-229198.0,-259677.0,-88710.0,-15523.0,-600276.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(820),(41.802),(39.848),(12.049),(4.315),(98.834),-820.0,-41802.0,-39848.0,-12049.0,-4315.0,-98834.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",413,9.365,1.570,6.130,331,17.809,413.0,9365.0,1570.0,6130.0,331.0,17809.0
Tại ngày 31 tháng 12 năm 2025,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,(7.575),(261.635),(297.955),(94.629),(19.507),(681.301),-7575.0,-261635.0,-297955.0,-94629.0,-19507.0,-681301.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,11.509,249.652,174.877,27.354,23.803,487.195,11509.0,249652.0,174877.0,27354.0,23803.0,487195.0
Tại ngày 31 tháng 12 năm 2025,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,9.814,284.311,175.088,23.497,19.754,512.464,9814.0,284311.0,175088.0,23497.0,19754.0,512464.0
