row_label_raw,row_label_full,col_0,col_1,Tại ngày > Thuyết minh,Tại ngày > 31.12.2025Triệu đồng,Tại ngày > 31.12.2024Triệu đồng,numeric__col_1,numeric__Tại ngày > Thuyết minh,numeric__Tại ngày > 31.12.2025Triệu đồng,numeric__Tại ngày > 31.12.2024Triệu đồng
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và NHNN,12,20.819.380,2.064.483,,12.0,20819380.0,2064483.0
1,B > 1,1,"Tiền gửi và vay Chính phủ, NHNN",,20.819.380,2.064.483,,,20819380.0,2064483.0
II,B > II,II,Tiền gửi và vay các TCTD khác,,107.281.006,85.907.868,,,107281006.0,85907868.0
1,B > 1,1,Tiền gửi của các TCTD khác,13.1,85.299.617,56.499.363,,131.0,85299617.0,56499363.0
2,B > 2,2,Vay các TCTD khác,13.2,21.981.389,29.408.505,,132.0,21981389.0,29408505.0
III,B > III,III,Tiền gửi của khách hàng,14,192.615.565,168.846.121,,14.0,192615565.0,168846121.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,15,260.398,303.574,,15.0,260398.0,303574.0
VI,B > VI,VI,Phát hành giấy tờ có giá,16,29.984.050,30.450.200,,16.0,29984050.0,30450200.0
VII,B > VII,VII,Các khoản nợ khác,,5.901.203,4.209.202,,,5901203.0,4209202.0
1,B > 1,1,"Các khoản lãi, phí phải trả",17.1,4.009.895,2.934.618,,171.0,4009895.0,2934618.0
3,B > 3,3,Các khoản phải trả và công nợ khác,17.2,1.891.308,1.274.584,,172.0,1891308.0,1274584.0
,,,TỔNG NỘ PHẢI TRẢ,,356.861.602,291.781.448,,,356861602.0,291781448.0
VIII,B > VIII,VIII,VỐN CHỦ SỞ HỮU,18,40.212.854,34.956.298,,18.0,40212854.0,34956298.0
1,B > 1,1,Vốn của tổ chức tín dụng,,28.453.167,28.353.167,,,28453167.0,28353167.0
a,B > a,a,Vốn điều lệ,,28.450.000,28.350.000,,,28450000.0,28350000.0
b,B > b,b,Thặng dư vốn cổ phần,,3.167,3.167,,,3167.0,3167.0
2,B > 2,2,Quỹ của TCTD,,3.638.189,2.612.881,,,3638189.0,2612881.0
5,B > 5,5,Lợi nhuận chưa phân phối,,8.121.498,3.990.250,,,8121498.0,3990250.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,40.212.854,34.956.298,,,40212854.0,34956298.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,397.074.456,326.737.746,,,397074456.0,326737746.0
