row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Năm tài chính kết thúc ngày > 31.12.2025Triệu đồng,Năm tài chính kết thúc ngày > 31.12.2024Triệu đồng,numeric__col_1,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày > 31.12.2025Triệu đồng,numeric__Năm tài chính kết thúc ngày > 31.12.2024Triệu đồng
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
01,01,01,"Tiền chi mua sắm tài sản cố định (""TSCĐ"")",,(315.008),(236.866),,,-315008.0,-236866.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán TSCĐ",,11.298,423,,,11298.0,423.0
07,07,07,"Tiền chi đầu tư, góp vốn vào các đơn vị khác",,-,(500.000),,,,-500000.0
08,08,08,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",27,4.300.000,-,,27.0,4300000.0,
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,13.710,1.396,,,13710.0,1396.0
II,II,II,LU'U CHUYÊN TIÊN THUÂN TỪ HOẠT ĐỘNG ĐẦU TƯ,,4.010.000,(735.047),,,4010000.0,-735047.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
01,01,01,Tăng vốn cổ phần từ phát hành cổ phiếu,18.1,100.000,-,,181.0,100000.0,
III,III,III,LU'U CHUYÊN TIÊN THUÂN TỪ HOẠT ĐỘNG TÀI CHÍNH,,100.000,-,,,100000.0,
IV,IV,IV,LU'U CHUYÊN TIÊN THUÂN TRONG NĂM,,31.467.008,31.569.120,,,31467008.0,31569120.0
V,V,V,TIÊN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM ĐẦU NĂM,31,85.313.005,53.743.885,,31.0,85313005.0,53743885.0
VII,VII,VII,TIÊN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM CUỐI NĂM,31,116.780.013,85.313.005,,31.0,116780013.0,85313005.0
