row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.741.945.250.000,10.420.226.000,81.606.382.163,119.424.960.363,2.953.396.818.526,2741945250000.0,10420226000.0,81606382163.0,119424960363.0,2953396818526.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,119.902.265.925,119.902.265.925,,,,119902265925.0,119902265925.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,(3.438.433.335),(3.438.433.335),,,,-3438433335.0,-3438433335.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(109.677.810.000),(109.677.810.000),,,,-109677810000.0,-109677810000.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,2.741.945.250.000,10.420.226.000,81.606.382.163,126.210.982.953,2.960.182.841.116,2741945250000.0,10420226000.0,81606382163.0,126210982953.0,2960182841116.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,2.741.945.250.000,10.420.226.000,81.606.382.163,126.210.982.953,2.960.182.841.116,2741945250000.0,10420226000.0,81606382163.0,126210982953.0,2960182841116.0
Giảm vốn điều lệ,Giảm vốn điều lệ,Giảm vốn điều lệ,(1.370.972.020.000),-,-,-,(1.370.972.020.000),-1370972020000.0,,,,-1370972020000.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,171.815.586.441,171.815.586.441,,,,171815586441.0,171815586441.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,4.796.090.637,(9.592.181.274),(4.796.090.637),,,4796090637.0,-9592181274.0,-4796090637.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,(109.677.858.400),(109.677.858.400),,,,-109677858400.0,-109677858400.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,1.370.973.230.000,10.420.226.000,86.402.472.800,178.756.529.720,1.646.552.458.520,1370973230000.0,10420226000.0,86402472800.0,178756529720.0,1646552458520.0
