row_label_raw,row_label_full,Số đầu năm > Mua trong năm,Nguyên giá > 4.836.480.685 > 1.672.800.000,Hao mòn lũy kế > 3.216.139.849,Giá trị còn lại > 1.620.340.836,numeric__Nguyên giá > 4.836.480.685 > 1.672.800.000,numeric__Hao mòn lũy kế > 3.216.139.849,numeric__Giá trị còn lại > 1.620.340.836
Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,2.160.306.695,,,2160306695.0,,
Khẩu hao trong năm,Khẩu hao trong năm,Khẩu hao trong năm,,649.571.770,,,649571770.0,
Số cuối năm,Số cuối năm,Số cuối năm,8.669.587.380,3.865.711.619,4.803.875.761,8669587380.0,3865711619.0,4803875761.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Đã khấu hao hết nhưng vẫn còn sử dụng,Trong đó: > Đã khấu hao hết nhưng vẫn còn sử dụng,Đã khấu hao hết nhưng vẫn còn sử dụng,1.850.394.021,,,1850394021.0,,
