row_label_raw,row_label_full,col_0,Số đầu năm,Số tiền vay phát sinh trong năm,Kết chuyên từ vay và nợ dài hạn,Số tiền vay đã trả trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số tiền vay phát sinh trong năm,numeric__Kết chuyên từ vay và nợ dài hạn,numeric__Số tiền vay đã trả trong năm,numeric__Số cuối năm
Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,266.594.641.092,557.296.237.103,-,(410.503.748.248),413.387.129.947,266594641092.0,557296237103.0,,-410503748248.0,413387129947.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,184.750.000.000,-,189.750.000.000,(184.750.000.000),189.750.000.000,184750000000.0,,189750000000.0,-184750000000.0,189750000000.0
Cộng,Cộng,Cộng,451.344.641.092,557.296.237.103,189.750.000.000,(595.253.748.248),603.137.129.947,451344641092.0,557296237103.0,189750000000.0,-595253748248.0,603137129947.0
