row_label_raw,row_label_full,col_0,Linh vực bản vếclàu dưỡng,Linh vực kinh doanhbắt động sản,Linh vực kinh doanhbắt động sản đầu tư,Linh vực xây dựng,Hợp đồng hợp táckinh doanh,Các lĩnh vực khíd,Các khoản loại trừ,Cộng,numeric__Linh vực bản vếclàu dưỡng,numeric__Linh vực kinh doanhbắt động sản,numeric__Linh vực kinh doanhbắt động sản đầu tư,numeric__Linh vực xây dựng,numeric__Hợp đồng hợp táckinh doanh,numeric__Các lĩnh vực khíd,numeric__Các khoản loại trừ,numeric__Cộng
m nay,m nay,m nay,,,,,,,,,,,,,,,,
anh thu thuần về bản hàng và cung cấp dịch vụ ra,m nay > anh thu thuần về bản hàng và cung cấp dịch vụ ra,anh thu thuần về bản hàng và cung cấp dịch vụ ra,255.079.957.899,282.473.491.512,4.920.000.000,161.543.989.013,45.792.237.077,8.254.441.936,-,758.064.097.437,255079957899.0,282473491512.0,4920000000.0,161543989013.0,45792237077.0,8254441936.0,,758064097437.0
e ngoài,e ngoài,e ngoài,,,,,,,,,,,,,,,,
anh thu thuần về bản hàng và cung cấp dịch vụ,anh thu thuần về bản hàng và cung cấp dịch vụ,anh thu thuần về bản hàng và cung cấp dịch vụ,-,-,-,-,-,-,-,-,,,,,,,,
a các bộ phần,a các bộ phần,a các bộ phần,,,,,,,,,,,,,,,,
ng doanh thu thuần về bản hàng và cung cấph vụ,a các bộ phần > ng doanh thu thuần về bản hàng và cung cấph vụ,ng doanh thu thuần về bản hàng và cung cấph vụ,255.079.927.899,282.473.491.512,4.920.000.000,161.543.989.013,45.792.237.077,8.254.441.936,-,758.064.097.437,255079927899.0,282473491512.0,4920000000.0,161543989013.0,45792237077.0,8254441936.0,,758064097437.0
t quả kinh doanh theo bộ phần,a các bộ phần > t quả kinh doanh theo bộ phần,t quả kinh doanh theo bộ phần,161.714.020.264,21.206.066.524,(2.169.095.189),(8.612.422.840),8.811.261.809,3.087.309.439,-,184.037.140.007,161714020264.0,21206066524.0,-2169095189.0,-8612422840.0,8811261809.0,3087309439.0,,184037140007.0
o chi phí không phân bổ theo bổ phần,o chi phí không phân bổ theo bổ phần,o chi phí không phân bổ theo bổ phần,,,,,,,,-,,,,,,,,
i nhuận từ hoạt động kinh doanh,o chi phí không phân bổ theo bổ phần > i nhuận từ hoạt động kinh doanh,i nhuận từ hoạt động kinh doanh,,,,,,,,184.037.140.007,,,,,,,,184037140007.0
anh thu hoạt động tài chính,o chi phí không phân bổ theo bổ phần > anh thu hoạt động tài chính,anh thu hoạt động tài chính,,,,,,,,14.660.241.137,,,,,,,,14660241137.0
i phí tài chính,o chi phí không phân bổ theo bổ phần > i phí tài chính,i phí tài chính,,,,,,,,(1.682.925.878),,,,,,,,-1682925878.0
u nhập khác,o chi phí không phân bổ theo bổ phần > u nhập khác,u nhập khác,,,,,,,,6.505.747.379,,,,,,,,6505747379.0
i phí khác,o chi phí không phân bổ theo bổ phần > i phí khác,i phí khác,,,,,,,,(688.131.971),,,,,,,,-688131971.0
i phí thuế thu nhập doanh nghiệp biển hành,o chi phí không phân bổ theo bổ phần > i phí thuế thu nhập doanh nghiệp biển hành,i phí thuế thu nhập doanh nghiệp biển hành,,,,,,,,(31.016.484.233),,,,,,,,-31016484233.0
i phí thuế thu nhập doanh nghiệp hoản lại,i phí thuế thu nhập doanh nghiệp hoản lại,i phí thuế thu nhập doanh nghiệp hoản lại,,,,,,,,-,,,,,,,,
i nhuận sau thuế thu nhập doanh nghiệp,i phí thuế thu nhập doanh nghiệp hoản lại > i nhuận sau thuế thu nhập doanh nghiệp,i nhuận sau thuế thu nhập doanh nghiệp,,,,,,,,171.815.586.441,,,,,,,,171815586441.0
ng chi phí đã phát sinh để mua tài sản cố địnhcác tài sản dài hạn khác,i phí thuế thu nhập doanh nghiệp hoản lại > ng chi phí đã phát sinh để mua tài sản cố địnhcác tài sản dài hạn khác,ng chi phí đã phát sinh để mua tài sản cố địnhcác tài sản dài hạn khác,16.929.878.880,111.326.147,1.939.030,123.666.398,-,776.359.900,-,17.943.170.356,16929878880.0,111326147.0,1939030.0,123666398.0,,776359900.0,,17943170356.0
ng chi phí khấu hao và phân bổ chi phí trả trướci hạn,i phí thuế thu nhập doanh nghiệp hoản lại > ng chi phí khấu hao và phân bổ chi phí trả trướci hạn,ng chi phí khấu hao và phân bổ chi phí trả trướci hạn,37.283.834.324,581.511.908,4.860.434.078,210.951.422,-,5.140.314.989,-,48.077.046.721,37283834324.0,581511908.0,4860434078.0,210951422.0,,5140314989.0,,48077046721.0
ng giá trị các khoản chi phí lớn không bằng tiềnitie chi phí khấu hao và phân bổ chi phí trả trướci hạn),ng giá trị các khoản chi phí lớn không bằng tiềnitie chi phí khấu hao và phân bổ chi phí trả trướci hạn),ng giá trị các khoản chi phí lớn không bằng tiềnitie chi phí khấu hao và phân bổ chi phí trả trướci hạn),,,,,,,,,,,,,,,,
