row_label_raw,row_label_full,1.,"Tiền chi đề mua sám, xây dựng tài sản cố định và các tài sản dài hạn khác",21,V.8;V.9;V.10;V.12;VII,(6.748.398.987),(5.908.998.190),"numeric__Tiền chi đề mua sám, xây dựng tài sản cố định và các tài sản dài hạn khác",numeric__21,numeric__V.8;V.9;V.10;V.12;VII,numeric__(6.748.398.987),numeric__(5.908.998.190)
2.,2.,2.,"Tiền thu từ thanh lý, nhượng bản tài sản cố định và các tài sản dài hạn khác",22,,-,-,,22.0,,,
3.,3.,3.,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,-,-,,23.0,,,
4.,4.,4.,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,-,-,,24.0,,,
5.,5.,5.,Tiền chi đầu tư góp vốn vào đơn vị khác,25,,-,(6.000.000.000),,25.0,,,-6000000000.0
6.,6.,6.,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,-,-,,26.0,,,
7.,7.,7.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,V.4;VI.4,9.569.028.521,8.679.446.431,,27.0,,9569028521.0,8679446431.0
,,,,30,,2.820.629.534,(3.229.551.759),,30.0,,2820629534.0,-3229551759.0
