row_label_raw,row_label_full,col_0,Lĩnh vực bán vế câu đường,Lĩnh vực kinh doanh bắt động sản,Lĩnh vực kinh doanh bắt động sản đầu tư,Lĩnh vực xây dựng,Hợp đồng hợp tác kinh coanh,Các lĩnh vực khác,Các khoản loại trừ,Cộng,numeric__Lĩnh vực bán vế câu đường,numeric__Lĩnh vực kinh doanh bắt động sản,numeric__Lĩnh vực kinh doanh bắt động sản đầu tư,numeric__Lĩnh vực xây dựng,numeric__Hợp đồng hợp tác kinh coanh,numeric__Các lĩnh vực khác,numeric__Các khoản loại trừ,numeric__Cộng
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,,,,,,,
Tài sản trực tiếp của bộ phân,Số cuối năm > Tài sản trực tiếp của bộ phân,Tài sản trực tiếp của bộ phân,542.530.873.569,6.501.511.705.723,186.115.966.545,83.469.147.484,493.667.742.016,24.398.002.215,-,7.831.693.437.552136.066.800.5447.967.760.238.096,542530873569.0,6501511705723.0,186115966545.0,83469147484.0,493667742016.0,24398002215.0,,7.831693437552136e+37
Các tài sản không phân bố theo bộ phân Tống tài sản,Các tài sản không phân bố theo bộ phân Tống tài sản,Các tài sản không phân bố theo bộ phân Tống tài sản,,,,,,,,,,,,,,,,
Nợ phải trả trực tiếp của bộ phân,Các tài sản không phân bố theo bộ phân Tống tài sản > Nợ phải trả trực tiếp của bộ phân,Nợ phải trả trực tiếp của bộ phân,19.172.957.092,4.918.211.030.031,209.055.691.231,179.471.201.521,-,-,-,5.325.910.879.874995.296.899.7026.321.207.779.576,19172957092.0,4918211030031.0,209055691231.0,179471201521.0,,,,5.325910879874996e+37
Nợ phải trả không phân bố theo bộ phân Tống nợ phải trả,Nợ phải trả không phân bố theo bộ phân Tống nợ phải trả,Nợ phải trả không phân bố theo bộ phân Tống nợ phải trả,,,,,,,,,,,,,,,,
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,,,
Tài sản trực tiếp của bộ phân,Số đầu năm > Tài sản trực tiếp của bộ phân,Tài sản trực tiếp của bộ phân,551.656.260.438,7.603.169.757.988,172.838.983.914,107.089.589.384,483.162.809.705,25.688.797.182,-,8.943.606.198.611152.593.148.7269.096.199.347.337,551656260438.0,7603169757988.0,172838983914.0,107089589384.0,483162809705.0,25688797182.0,,8.943606198611152e+37
Các tài sản không phân bố theo bộ phân Tống tài sản,Các tài sản không phân bố theo bộ phân Tống tài sản,Các tài sản không phân bố theo bộ phân Tống tài sản,,,,,,,,,,,,,,,,
Nợ phải trả trực tiếp của bộ phân,Các tài sản không phân bố theo bộ phân Tống tài sản > Nợ phải trả trực tiếp của bộ phân,Nợ phải trả trực tiếp của bộ phân,42.497.091.646,4.925.294.763.442,206.876.741.738,222.075.317.409,-,160.115.907,-,5.396.904.030.142739.112.476.0796.136.016.506.221,42497091646.0,4925294763442.0,206876741738.0,222075317409.0,,160115907.0,,5.3969040301427395e+37
Nợ phải trả không phân bố theo bộ phân Tống nợ phải trả,Nợ phải trả không phân bố theo bộ phân Tống nợ phải trả,Nợ phải trả không phân bố theo bộ phân Tống nợ phải trả,,,,,,,,,,,,,,,,
