row_label_raw,row_label_full,Công ty Cổ phần Phát triển đô thị Phải thu tiền bán bất động sản,Thời gian quá hạn > Dưới 06 tháng > Từ 06 tháng đến 01 năm,Số cuối năm > Giá gốc > 54.586.314.000 > 24.586.314.000,Số cuối năm > Giá trị có thể thu hồi > 54.586.314.000 > 24.586.314.000,Thời gian quá hạn > -,Số đầu năm > Giá gốc > -,Số đầu năm > Giá trị có thể thu hồi > -,numeric__Thời gian quá hạn > Dưới 06 tháng > Từ 06 tháng đến 01 năm,numeric__Số cuối năm > Giá gốc > 54.586.314.000 > 24.586.314.000,numeric__Số cuối năm > Giá trị có thể thu hồi > 54.586.314.000 > 24.586.314.000,numeric__Thời gian quá hạn > -,numeric__Số đầu năm > Giá gốc > -,numeric__Số đầu năm > Giá trị có thể thu hồi > -
Các tổ chức và cá nhân khác,Các tổ chức và cá nhân khác,Các tổ chức và cá nhân khác,,430.390.920.831,430.390.920.831,,421.604.630.738,421.604.630.738,,430390920831.0,430390920831.0,,421604630738.0,421604630738.0
Công ty Cổ phần Dịch vụ Thương mại và Xây dựng Địa ốc Kim Oanh,Công ty Cổ phần Dịch vụ Thương mại và Xây dựng Địa ốc Kim Oanh,Công ty Cổ phần Dịch vụ Thương mại và Xây dựng Địa ốc Kim Oanh,,,,,,,,,,,,
Phải thu tiến bán bất động sản,Công ty Cổ phần Dịch vụ Thương mại và Xây dựng Địa ốc Kim Oanh > Phải thu tiến bán bất động sản,Phải thu tiến bán bất động sản,Từ 01 đến 02 năm,264.375.000,264.375.000,Từ 01 đến 02 năm,11.040.337.991,11.040.337.991,,264375000.0,264375000.0,,11040337991.0,11040337991.0
Phải thu các tổ chức và cá nhân khác,Phải thu các tổ chức và cá nhân khác,Phải thu các tổ chức và cá nhân khác,,,,,,,,,,,,
Phải thu tiền bán bất động sản,Phải thu các tổ chức và cá nhân khác > Phải thu tiền bán bất động sản,Phải thu tiền bán bất động sản,Dưới 06 tháng,61.473.983.239,61.473.983.239,Dưới 06 tháng,71.729.327.654,71.729.327.654,,61473983239.0,61473983239.0,,71729327654.0,71729327654.0
Phải thu tiền bán bất động sản,Phải thu các tổ chức và cá nhân khác > Phải thu tiền bán bất động sản,Phải thu tiền bán bất động sản,Từ 06 tháng đến 01 năm,47.137.289.600,47.137.289.600,Từ 06 tháng đến 01 năm,55.786.348.275,55.786.348.275,,47137289600.0,47137289600.0,,55786348275.0,55786348275.0
Phải thu tiền bán bất động sản,Phải thu các tổ chức và cá nhân khác > Phải thu tiền bán bất động sản,Phải thu tiền bán bất động sản,Từ 01 đến 02 năm,98.033.293.391,98.033.293.391,Từ 01 đến 02 năm,130.424.801.762,130.424.801.762,,98033293391.0,98033293391.0,,130424801762.0,130424801762.0
Phải thu tiền bán bất động sản,Phải thu các tổ chức và cá nhân khác > Phải thu tiền bán bất động sản,Phải thu tiền bán bất động sản,Từ 02 đến 03 năm,98.373.256.416,98.373.256.416,Từ 02 đến 03 năm,66.748.670.978,66.748.670.978,,98373256416.0,98373256416.0,,66748670978.0,66748670978.0
,,,Trên 03 năm,125.108.723.185,125.108.723.185,Trên 03 năm,85.875.144.078,85.875.144.078,,125108723185.0,125108723185.0,,85875144078.0,85875144078.0
Cộng,Phải thu các tổ chức và cá nhân khác > Cộng,Cộng,,513.967.674.831,513.967.674.831,,424.192.998.738,424.192.998.738,,513967674831.0,513967674831.0,,424192998738.0,424192998738.0
