row_label_raw,row_label_full,col_0,Lĩnh vực bản vế câu dưỡng,Lĩnh vực kinh doanh bất động sản,Lĩnh vực kinh doanh bất động sản đầu tư,Lĩnh vực xây dựng,Hợp đồng hợp tác kinh doanh,Các lĩnh vực khác,Các khoản loại trừ,Cộng,numeric__Lĩnh vực bản vế câu dưỡng,numeric__Lĩnh vực kinh doanh bất động sản,numeric__Lĩnh vực kinh doanh bất động sản đầu tư,numeric__Lĩnh vực xây dựng,numeric__Hợp đồng hợp tác kinh doanh,numeric__Các lĩnh vực khác,numeric__Các khoản loại trừ,numeric__Cộng
im trước,im trước,im trước,im trước,im trước,im trước,im trước,im trước,im trước,im trước,im trước,,,,,,,,
vanh thu thuần về bản hàng và cung cấp dịch vụ ra n ngoài,im trước > vanh thu thuần về bản hàng và cung cấp dịch vụ ra n ngoài,vanh thu thuần về bản hàng và cung cấp dịch vụ ra n ngoài,231.157.519.254,1.405.462.919.900,4.056.035.933,162.234.846.463,12.113.274.894,4.784.699.097,-,1.819.809.295.541,231157519254.0,1405462919900.0,4056035933.0,162234846463.0,12113274894.0,4784699097.0,,1819809295541.0
vanh thu thuần về bản hàng và cung cấp dịch vụ ra các bộ phận,vanh thu thuần về bản hàng và cung cấp dịch vụ ra các bộ phận,vanh thu thuần về bản hàng và cung cấp dịch vụ ra các bộ phận,,,,,,,,,,,,,,,,
ng doanh thu thuần về bản hàng và cung cấp zh vụ,vanh thu thuần về bản hàng và cung cấp dịch vụ ra các bộ phận > ng doanh thu thuần về bản hàng và cung cấp zh vụ,ng doanh thu thuần về bản hàng và cung cấp zh vụ,231.157.519.254,1.405.462.919.900,4.056.035.933,162.234.846.463,12.113.274.894,4.784.699.097,-,1.819.809.295.541,231157519254.0,1405462919900.0,4056035933.0,162234846463.0,12113274894.0,4784699097.0,,1819809295541.0
t minus kinh doanh theo bổ phân,vanh thu thuần về bản hàng và cung cấp dịch vụ ra các bộ phận > t minus kinh doanh theo bổ phân,t minus kinh doanh theo bổ phân,156.235.646.898,(656.186.103),(1.310.665.883),10.105.436.307,(18.745.581.754),(10.994.691.573),-,134.633.957.892,156235646898.0,-656186103.0,-1310665883.0,10105436307.0,-18745581754.0,-10994691573.0,,134633957892.0
c chi phí không phân bổ theo bổ phân,c chi phí không phân bổ theo bổ phân,c chi phí không phân bổ theo bổ phân,,,,,,,,-,,,,,,,,
i nhuận từ hoạt động kinh doanh,c chi phí không phân bổ theo bổ phân > i nhuận từ hoạt động kinh doanh,i nhuận từ hoạt động kinh doanh,,,,,,,,134.633.957.892,,,,,,,,134633957892.0
vanh thu hoạt động tài chính,c chi phí không phân bổ theo bổ phân > vanh thu hoạt động tài chính,vanh thu hoạt động tài chính,,,,,,,,10.574.757.950,,,,,,,,10574757950.0
i phí tài chính,i phí tài chính,i phí tài chính,,,,,,,,-,,,,,,,,
u nhập khác,i phí tài chính > u nhập khác,u nhập khác,,,,,,,,4.412.321.069,,,,,,,,4412321069.0
i phí khác,i phí tài chính > i phí khác,i phí khác,,,,,,,,(1.502.421.286),,,,,,,,-1502421286.0
i phí thuế thu nhập doanh nghiệp luận hành,i phí tài chính > i phí thuế thu nhập doanh nghiệp luận hành,i phí thuế thu nhập doanh nghiệp luận hành,,,,,,,,(28.216.349.700),,,,,,,,-28216349700.0
i phí thuế thu nhập doanh nghiệp hoãn lại,i phí thuế thu nhập doanh nghiệp hoãn lại,i phí thuế thu nhập doanh nghiệp hoãn lại,,,,,,,,-,,,,,,,,
i nhuận sau thuế thu nhập doanh nghiệp,i phí thuế thu nhập doanh nghiệp hoãn lại > i nhuận sau thuế thu nhập doanh nghiệp,i nhuận sau thuế thu nhập doanh nghiệp,,,,,,,,119.902.265.925,,,,,,,,119902265925.0
ng chi phí đã phát sinh đề mua tài sản cố định các tài sản dài hạn khác,i phí thuế thu nhập doanh nghiệp hoãn lại > ng chi phí đã phát sinh đề mua tài sản cố định các tài sản dài hạn khác,ng chi phí đã phát sinh đề mua tài sản cố định các tài sản dài hạn khác,42.100.815.856,61.698.945,178.057,7.122.098,-,380.793.681,-,42.550.628.548,42100815856.0,61698945.0,178057.0,7122098.0,,380793681.0,,42550628548.0
ng chi phí khẩu hao và phân bổ chi phí trả trước / fiscal,i phí thuế thu nhập doanh nghiệp hoãn lại > ng chi phí khẩu hao và phân bổ chi phí trả trước / fiscal,ng chi phí khẩu hao và phân bổ chi phí trả trước / fiscal,34.531.301.174,1.230.236.433,4.933.317.877,125.649.815,-,5.163.200.955,-,45.983.706.253,34531301174.0,1230236433.0,4933317877.0,125649815.0,,5163200955.0,,45983706253.0
ng giá trị các khoản chi phí lâm không bằng tiền ở chi phí khẩu hao và phân bổ chi phí trả trước / fiscal,ng giá trị các khoản chi phí lâm không bằng tiền ở chi phí khẩu hao và phân bổ chi phí trả trước / fiscal,ng giá trị các khoản chi phí lâm không bằng tiền ở chi phí khẩu hao và phân bổ chi phí trả trước / fiscal,,,,,,,,,,,,,,,,
