row_label_raw,row_label_full,Số đầu năm,Năm nay > -,Năm trước > 1.580.297.059,numeric__Năm nay > -,numeric__Năm trước > 1.580.297.059
Tăng do trích lập từ lợi nhuận,Tăng do trích lập từ lợi nhuận,Tăng do trích lập từ lợi nhuận,4.796.090.637,3.438.433.335,4796090637.0,3438433335.0
Chi quỹ,Chi quỹ,Chi quỹ,(4.796.090.637),(5.018.730.394),-4796090637.0,-5018730394.0
Số cuối năm,Số cuối năm,Số cuối năm,-,-,,
