row_label_raw,row_label_full,col_0,Số đầu năm,Số tiền vay phát sinh trong năm,Kết chuyển sang vay và nợ ngắn hạn,Số cuối năm,numeric__Số đầu năm,numeric__Số tiền vay phát sinh trong năm,numeric__Kết chuyển sang vay và nợ ngắn hạn,numeric__Số cuối năm
Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,354.500.000.000,55.000.000.000,(189.750.000.000),219.750.000.000,354500000000.0,55000000000.0,-189750000000.0,219750000000.0
Trái phiếu thường,Trái phiếu thường,Trái phiếu thường,1.000.000.000.000,-,-,1.000.000.000.000,1000000000000.0,,,1000000000000.0
Cộng,Cộng,Cộng,1.354.500.000.000,55.000.000.000,(189.750.000.000),1.219.750.000.000,1354500000000.0,55000000000.0,-189750000000.0,1219750000000.0
