row_label_raw,row_label_full,10. Tài sản có khác,10. Tài sản có khác_1,10. Tài sản có khác_2,numeric__10. Tài sản có khác_1,numeric__10. Tài sản có khác_2
- Các khoản phải thu bên ngoài,10.2 Các khoản phải thu > - Các khoản phải thu bên ngoài,- Các khoản phải thu bên ngoài,4.341.053,2.711.710,4341053.0,2711710.0
Cty TNHH TM-DV Nông Sản Bắc Hà,10.2 Các khoản phải thu > Cty TNHH TM-DV Nông Sản Bắc Hà,Cty TNHH TM-DV Nông Sản Bắc Hà,200.000,200.000,200000.0,200000.0
Công ty CP dịch vụ Mua bán nợ Quốc tế,10.2 Các khoản phải thu > Công ty CP dịch vụ Mua bán nợ Quốc tế,Công ty CP dịch vụ Mua bán nợ Quốc tế,1.046.157,-,1046157.0,
Công ty TNHH MTV Quản lý nợ và khai thác TS AB Bank,10.2 Các khoản phải thu > Công ty TNHH MTV Quản lý nợ và khai thác TS AB Bank,Công ty TNHH MTV Quản lý nợ và khai thác TS AB Bank,-,184.431,,184431.0
Công ty CP Mua bán nợ Việt Nam Thịnh Vượng,10.2 Các khoản phải thu > Công ty CP Mua bán nợ Việt Nam Thịnh Vượng,Công ty CP Mua bán nợ Việt Nam Thịnh Vượng,526.534,576.586,526534.0,576586.0
Công ty CP Mua bán nợ Miền Bắc,10.2 Các khoản phải thu > Công ty CP Mua bán nợ Miền Bắc,Công ty CP Mua bán nợ Miền Bắc,818.813,-,818813.0,
Công ty CP Mua bán nợ Thế hệ mới,10.2 Các khoản phải thu > Công ty CP Mua bán nợ Thế hệ mới,Công ty CP Mua bán nợ Thế hệ mới,572.909,-,572909.0,
Công ty CP DV và ĐT TC An Bình,10.2 Các khoản phải thu > Công ty CP DV và ĐT TC An Bình,Công ty CP DV và ĐT TC An Bình,506.715,1.097.395,506715.0,1097395.0
Ký quỹ Công ty CP chứng khoản An Bình,10.2 Các khoản phải thu > Ký quỹ Công ty CP chứng khoản An Bình,Ký quỹ Công ty CP chứng khoản An Bình,-,40.000,,40000.0
Cty TNHH TM và Công nghệ Gia Tuệ,10.2 Các khoản phải thu > Cty TNHH TM và Công nghệ Gia Tuệ,Cty TNHH TM và Công nghệ Gia Tuệ,65.791,65.791,65791.0,65791.0
Công ty CP Ngoại thương và địa ốc Châu Lục,10.2 Các khoản phải thu > Công ty CP Ngoại thương và địa ốc Châu Lục,Công ty CP Ngoại thương và địa ốc Châu Lục,122.494,171,122494.0,171.0
Công ty CP thiết kế sản xuất nội thất Hàn Quốc,10.2 Các khoản phải thu > Công ty CP thiết kế sản xuất nội thất Hàn Quốc,Công ty CP thiết kế sản xuất nội thất Hàn Quốc,95.953,-,95953.0,
Ông Bùi Vinh Quang,10.2 Các khoản phải thu > Ông Bùi Vinh Quang,Ông Bùi Vinh Quang,142.632,-,142632.0,
Ký quỹ Công ty CP chứng khoản BIDV,10.2 Các khoản phải thu > Ký quỹ Công ty CP chứng khoản BIDV,Ký quỹ Công ty CP chứng khoản BIDV,28.616,16.051,28616.0,16051.0
Các khoản phải thu bên ngoài khác,10.2 Các khoản phải thu > Các khoản phải thu bên ngoài khác,Các khoản phải thu bên ngoài khác,214.438,531.285,214438.0,531285.0
Cộng,10.2 Các khoản phải thu > Cộng,Cộng,4.393.235,2.821.985,4393235.0,2821985.0
