row_label_raw,row_label_full,Năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > 2. Tiền gửi tại Ngân hàng Nhà nước,Đơn vị tính: Triệu đồng Việt Nam > 31/12/2017,Đơn vị tính: Triệu đồng Việt Nam > 01/01/2017,numeric__Đơn vị tính: Triệu đồng Việt Nam > 31/12/2017,numeric__Đơn vị tính: Triệu đồng Việt Nam > 01/01/2017
Tiền gửi thanh toán tại Ngân hàng Nhà nước,Tiền gửi thanh toán tại Ngân hàng Nhà nước,Tiền gửi thanh toán tại Ngân hàng Nhà nước,2.336.309,1.626.960,2336309.0,1626960.0
Bằng VND,Bằng VND,Bằng VND,2.257.219,1.374.336,2257219.0,1374336.0
Bằng ngoại tệ,Bằng ngoại tệ,Bằng ngoại tệ,79.090,252.624,79090.0,252624.0
Tổng cộng,Tổng cộng,Tổng cộng,2.336.309,1.626.960,2336309.0,1626960.0
