row_label_raw,row_label_full,A. TAI SAN,A. TAI SAN_1,A. TAI SAN_2,A. TAI SAN_3,A. TAI SAN_4,numeric__A. TAI SAN_1,numeric__A. TAI SAN_2,numeric__A. TAI SAN_3,numeric__A. TAI SAN_4
"I. Tien mag, Zhang bao, da guy","I. Tien mag, Zhang bao, da guy","I. Tien mag, Zhang bao, da guy",V.01,285.996,281.947,,,285996.0,281947.0,
II. Tien gui tai ngan hang nha uroe,II. Tien gui tai ngan hang nha uroe,II. Tien gui tai ngan hang nha uroe,V.02,2.336.309,1.626.960,,,2336309.0,1626960.0,
III. Tien gui tai chou vay cie TCID khae,III. Tien gui tai chou vay cie TCID khae,III. Tien gui tai chou vay cie TCID khae,V.03,9.445.182,11.518.329,,,9445182.0,11518329.0,
I. Tien gui tai cac TCID khae,I. Tien gui tai cac TCID khae,I. Tien gui tai cac TCID khae,,8.721.932,9.168.006,,,8721932.0,9168006.0,
2. Chou vay cie TCID khae,2. Chou vay cie TCID khae,2. Chou vay cie TCID khae,V.02,723.250,2.350.323,,,723250.0,2350323.0,
3. Duy phong rui ro,3. Duy phong rui ro,3. Duy phong rui ro,,-,-,,,,,
IV. Chung khoan kinh doanh,3. Duy phong rui ro > IV. Chung khoan kinh doanh,IV. Chung khoan kinh doanh,,342.618,-,,,342618.0,,
1. Chung khoan kinh doanh,3. Duy phong rui ro > 1. Chung khoan kinh doanh,1. Chung khoan kinh doanh,342.618,-,-,,342618.0,,,
2. Duy phong giam gia chung khoan kinh doanh,2. Duy phong giam gia chung khoan kinh doanh,2. Duy phong giam gia chung khoan kinh doanh,-,-,-,,,,,
V. Cie chang cy tai chihm pahl sihh ya cac tai san tai chihm khae,2. Duy phong giam gia chung khoan kinh doanh > V. Cie chang cy tai chihm pahl sihh ya cac tai san tai chihm khae,V. Cie chang cy tai chihm pahl sihh ya cac tai san tai chihm khae,-,33.755,-,,,33755.0,,
VI. Chou vay khach hang,2. Duy phong giam gia chung khoan kinh doanh > VI. Chou vay khach hang,VI. Chou vay khach hang,V.04,32.110.586,25.352.217,,,32110586.0,25352217.0,
2. Duy phong rui to chou vay khach hang,2. Duy phong giam gia chung khoan kinh doanh > 2. Duy phong rui to chou vay khach hang,2. Duy phong rui to chou vay khach hang,V.05,(359.247),(290.310),,,-359247.0,-290310.0,
VII. Chung khoan dau tu,2. Duy phong giam gia chung khoan kinh doanh > VII. Chung khoan dau tu,VII. Chung khoan dau tu,V.06,15.470.182,19.105.820,,,15470182.0,19105820.0,
1. Chung khoan dau tu san sang de ban,2. Duy phong giam gia chung khoan kinh doanh > 1. Chung khoan dau tu san sang de ban,1. Chung khoan dau tu san sang de ban,,7.461.419,11.233.021,,,7461419.0,11233021.0,
2. Chung khoan dau tu gii dan ngay dao han,2. Duy phong giam gia chung khoan kinh doanh > 2. Chung khoan dau tu gii dan ngay dao han,2. Chung khoan dau tu gii dan ngay dao han,,8.101.727,7.892.799,,,8101727.0,7892799.0,
3. Duy phong giam gia chung khoan dau tu,2. Duy phong giam gia chung khoan kinh doanh > 3. Duy phong giam gia chung khoan dau tu,3. Duy phong giam gia chung khoan dau tu,,(92.964),(20.000),,,-92964.0,-20000.0,
"VIII. Gop von, dau tu dai han","2. Duy phong giam gia chung khoan kinh doanh > VIII. Gop von, dau tu dai han","VIII. Gop von, dau tu dai han",V.07,709.682,862.682,,,709682.0,862682.0,
1. Dau tu vao cang Ty con,1. Dau tu vao cang Ty con,1. Dau tu vao cang Ty con,,-,-,,,,,
2. Von gop Iien doanh,2. Von gop Iien doanh,2. Von gop Iien doanh,,-,-,,,,,
3. Dau tu vao cang Ty Iien ket,3. Dau tu vao cang Ty Iien ket,3. Dau tu vao cang Ty Iien ket,,-,-,,,,,
4. Dau tu dai han khae,3. Dau tu vao cang Ty Iien ket > 4. Dau tu dai han khae,4. Dau tu dai han khae,,719.600,869.600,,,719600.0,869600.0,
5. Duy phong giam gia dau tu dai han,3. Dau tu vao cang Ty Iien ket > 5. Duy phong giam gia dau tu dai han,5. Duy phong giam gia dau tu dai han,,(9.918),(6.918),,,-9918.0,-6918.0,
