row_label_raw,row_label_full,28. Loại hình và giá trị tài sản thế chấp của khách hàng (t.t) > Loại tài sản đảm bảo,28. Loại hình và giá trị tài sản thế chấp của khách hàng (t.t) > Giá trị đến > 31/12/2017,28. Loại hình và giá trị tài sản thế chấp của khách hàng (t.t) > Giá trị đến > 01/01/2017,numeric__28. Loại hình và giá trị tài sản thế chấp của khách hàng (t.t) > Giá trị đến > 31/12/2017,numeric__28. Loại hình và giá trị tài sản thế chấp của khách hàng (t.t) > Giá trị đến > 01/01/2017
Máy móc thiết bị chuyên dùng,Máy móc thiết bị chuyên dùng,Máy móc thiết bị chuyên dùng,1.778.194,1.536.473,1778194.0,1536473.0
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,10.924.064,9.233.998,10924064.0,9233998.0
"Số dư tiền gửi, Số Tiết kiệm bằng VND tại TCTD","Số dư tiền gửi, Số Tiết kiệm bằng VND tại TCTD","Số dư tiền gửi, Số Tiết kiệm bằng VND tại TCTD",664.651,321.661,664651.0,321661.0
"Số dư tiền gửi, ký phiếu, chứng chỉ tiền gói bằng VND tại NCB","Số dư tiền gửi, ký phiếu, chứng chỉ tiền gói bằng VND tại NCB","Số dư tiền gửi, ký phiếu, chứng chỉ tiền gói bằng VND tại NCB",4.288.318,2.572.004,4288318.0,2572004.0
Số dư tiền gửi ngoại tệ tại NCB,Số dư tiền gửi ngoại tệ tại NCB,Số dư tiền gửi ngoại tệ tại NCB,988.415,40.651,988415.0,40651.0
Loại khác,Loại khác,Loại khác,32.460.647,23.720.775,32460647.0,23720775.0
Tổng,Tổng,Tổng,112.248.045,85.004.800,112248045.0,85004800.0
29. Nghĩa vụ nợ tiềm ẩn và các cam kết đưa ra,29. Nghĩa vụ nợ tiềm ẩn và các cam kết đưa ra,29. Nghĩa vụ nợ tiềm ẩn và các cam kết đưa ra,29. Nghĩa vụ nợ tiềm ẩn và các cam kết đưa ra,29. Nghĩa vụ nợ tiềm ẩn và các cam kết đưa ra,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,31/12/2017,01/01/2017,,
Bảo lãnh vay vốn,Chỉ tiêu > Bảo lãnh vay vốn,Bảo lãnh vay vốn,1.640,1.640,1640.0,1640.0
Cam kết giao dịch ngoại hồi,Chỉ tiêu > Cam kết giao dịch ngoại hồi,Cam kết giao dịch ngoại hồi,7.871.175,8.766.598,7871175.0,8766598.0
Cam kết mua ngoại tệ,Chỉ tiêu > Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,-,422.419,,422419.0
Cam kết bán ngoại tệ,Chỉ tiêu > Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,-,355.859,,355859.0
Cam kết giao dịch hoán đốt,Chỉ tiêu > Cam kết giao dịch hoán đốt,Cam kết giao dịch hoán đốt,7.871.175,7.988.320,7871175.0,7988320.0
Cam kết trong nghiệp vụ L/C,Chỉ tiêu > Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,160.495,303.816,160495.0,303816.0
Cam kết thanh toàn trong nghiệp vụ L/C,Chỉ tiêu > Cam kết thanh toàn trong nghiệp vụ L/C,Cam kết thanh toàn trong nghiệp vụ L/C,160.495,303.816,160495.0,303816.0
Các bảo lãnh khác,Chỉ tiêu > Các bảo lãnh khác,Các bảo lãnh khác,3.403.495,3.453.605,3403495.0,3453605.0
Bảo lãnh thanh toàn,Chỉ tiêu > Bảo lãnh thanh toàn,Bảo lãnh thanh toàn,800.942,739.714,800942.0,739714.0
Bảo lãnh thực hiện hợp đồng,Chỉ tiêu > Bảo lãnh thực hiện hợp đồng,Bảo lãnh thực hiện hợp đồng,756.977,843.856,756977.0,843856.0
Bảo lãnh dự thầu,Chỉ tiêu > Bảo lãnh dự thầu,Bảo lãnh dự thầu,274.022,218.932,274022.0,218932.0
Cam kết bảo lãnh khác,Chỉ tiêu > Cam kết bảo lãnh khác,Cam kết bảo lãnh khác,1.571.554,1.651.103,1571554.0,1651103.0
Các cam kết khác,Chỉ tiêu > Các cam kết khác,Các cam kết khác,211.000,75.278,211000.0,75278.0
Tổng cộng,Chỉ tiêu > Tổng cộng,Tổng cộng,11.647.806,12.600.937,11647806.0,12600937.0
