row_label_raw,row_label_full,Khoản mục,"Nhà cửa, vật kiến trúc",Máy móc thiết bị,Phương tiện vận tải truyền dẫn,Thiết bị dụng cụ quản lý,Tài sản cố định khác,Tổng cộng,"numeric__Nhà cửa, vật kiến trúc",numeric__Máy móc thiết bị,numeric__Phương tiện vận tải truyền dẫn,numeric__Thiết bị dụng cụ quản lý,numeric__Tài sản cố định khác,numeric__Tổng cộng
Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,,,,,,
Số dư đầu kỳ,Nguyên giá TSCĐ hữu hình > Số dư đầu kỳ,Số dư đầu kỳ,154.145,80.017,49.163,53.922,2.123,339.370,154145.0,80017.0,49163.0,53922.0,2123.0,339370.0
- Mua trong kỳ,Nguyên giá TSCĐ hữu hình > - Mua trong kỳ,- Mua trong kỳ,-,27.903,8.259,16.083,-,52.245,,27903.0,8259.0,16083.0,,52245.0
- Đầu tư XDCB hoàn thành,Nguyên giá TSCĐ hữu hình > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,557,-,-,989,-,1.546,557.0,,,989.0,,1546.0
"- Thanh lý, nhượng bán","Nguyên giá TSCĐ hữu hình > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(320),(2.273),(1.752),-,(4.344),,-320.0,-2273.0,-1752.0,,-4344.0
- Điều chuyển nội bộ,Nguyên giá TSCĐ hữu hình > - Điều chuyển nội bộ,- Điều chuyển nội bộ,-,(180),-,180,-,-,,-180.0,,180.0,,
Số dư cuối kỳ,Nguyên giá TSCĐ hữu hình > Số dư cuối kỳ,Số dư cuối kỳ,154.702,107.420,55.149,69.422,2.123,388.817,154702.0,107420.0,55149.0,69422.0,2123.0,388817.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu kỳ,Giá trị hao mòn lũy kế > Số dư đầu kỳ,Số dư đầu kỳ,12.071,29.393,29.616,29.623,1.056,101.760,12071.0,29393.0,29616.0,29623.0,1056.0,101760.0
- Khấu hao trong kỳ,Giá trị hao mòn lũy kế > - Khấu hao trong kỳ,- Khấu hao trong kỳ,2.958,8.254,4.527,7.368,177,23.284,2958.0,8254.0,4527.0,7368.0,177.0,23284.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(200),(2.190),(1.609),-,(3.999),,-200.0,-2190.0,-1609.0,,-3999.0
- Điều chuyển nội bộ,Giá trị hao mòn lũy kế > - Điều chuyển nội bộ,- Điều chuyển nội bộ,-,(105),-,105,-,-,,-105.0,,105.0,,
Số dư cuối kỳ,Giá trị hao mòn lũy kế > Số dư cuối kỳ,Số dư cuối kỳ,15.029,37.342,31.953,35.487,1.233,121.044,15029.0,37342.0,31953.0,35487.0,1233.0,121044.0
Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,,,,,,
Số dư đầu kỳ,Giá trị còn lại của TSCĐ hữu hình > Số dư đầu kỳ,Số dư đầu kỳ,142.074,50.624,19.547,24.299,1.067,237.610,142074.0,50624.0,19547.0,24299.0,1067.0,237610.0
Số dư cuối kỳ,Giá trị còn lại của TSCĐ hữu hình > Số dư cuối kỳ,Số dư cuối kỳ,139.673,70.078,23.197,33.935,890,267.773,139673.0,70078.0,23197.0,33935.0,890.0,267773.0
,,,,,,31/12/2017,01/01/2017,,,,,,,
